t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, px4Ro, px4Pi, px4Ya, px4Lidar, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRspdrId, uwbRqstrId
1502537171.360826015,1.118836641,1.060157537,0.184577674,0.000024089,-0.000081063,-0.000037783,0.009360607,-0.015460377,1.541426778,-0.020000000,-0.040000000,0.080000000,0.000000000,0.000000000,-0.120000000,-0.028274334,-0.030194196,-0.107686815,0.130000000,0.000000000,0.000000000,0.000000000,113.150230408,3.267999887,1.000000000,0.000000000,3.000000000
1502537171.401816607,1.118821025,1.060222626,0.184623614,0.000027706,-0.000007024,0.000038462,0.009386815,-0.015460491,1.541347742,0.000000000,0.000000000,0.090000000,0.000000000,0.000000000,0.000000000,-0.028274334,-0.030194196,-0.107512282,0.130000000,0.000000000,0.000000000,0.000000000,113.198936462,3.717999935,0.000000000,1.000000000,3.000000000
1502537171.426564932,1.118821025,1.060222626,0.184623614,0.000027706,-0.000007024,0.000038462,0.009386815,-0.015460491,1.541347742,1.030000000,-0.140000000,0.200000000,0.000000000,0.000000000,0.000000000,-0.028274334,-0.030194196,-0.107512282,0.130000000,0.000000000,0.000000000,0.000000000,113.267723083,3.342000008,0.000000000,0.000000000,3.000000000
1502537171.454772234,1.118821025,1.060222626,0.184623614,0.000027706,-0.000007024,0.000038462,0.009386815,-0.015460491,1.541347742,0.840000000,-0.890000000,0.200000000,0.000000000,0.000000000,-0.020000000,-0.028274334,-0.030194196,-0.105941486,0.120000000,0.000000000,0.000000000,0.000000000,113.251121521,2.891000032,1.000000000,0.000000000,2.000000000
1502537171.456030846,1.118821025,1.060222626,0.184623614,0.000027706,-0.000007024,0.000038462,0.009386815,-0.015460491,1.541347742,0.840000000,-0.890000000,0.200000000,0.000000000,0.000000000,-0.020000000,-0.028274334,-0.030194196,-0.105941486,0.120000000,0.000000000,0.000000000,0.000000000,113.251121521,3.486999989,1.000000000,1.000000000,3.000000000
1502537171.477655172,1.118775606,1.060217261,0.184550509,0.000003809,0.000029315,0.000048585,0.009203122,-0.015445216,1.541458726,0.840000000,-0.890000000,0.200000000,0.000000000,0.000000000,-0.020000000,-0.028099801,-0.030194196,-0.105941486,0.090000000,0.000000000,0.000000000,0.000000000,113.251121521,3.375999928,1.000000000,1.000000000,2.000000000
1502537171.477682352,1.118775606,1.060217261,0.184550509,0.000003809,0.000029315,0.000048585,0.009203122,-0.015445216,1.541458726,0.840000000,-0.890000000,0.200000000,0.000000000,0.000000000,-0.020000000,-0.028099801,-0.030194196,-0.105941486,0.090000000,0.000000000,0.000000000,0.000000000,113.251121521,3.234999895,1.000000000,0.000000000,3.000000000
1502537171.518067598,1.118775606,1.060217261,0.184550509,0.000003809,0.000029315,0.000048585,0.009203122,-0.015445216,1.541458726,0.850000000,-0.690000000,0.200000000,0.000000000,0.000000000,-0.020000000,-0.028099801,-0.030194196,-0.104021623,0.140000000,0.000000000,0.000000000,0.000000000,113.248260498,3.720999956,0.000000000,1.000000000,3.000000000
1502537171.523115873,1.118775606,1.060217261,0.184550509,0.000003809,0.000029315,0.000048585,0.009203122,-0.015445216,1.541458726,0.860000000,-0.800000000,0.200000000,0.000000000,0.000000000,-0.040000000,-0.028099801,-0.030368729,-0.102974426,0.130000000,0.000000000,0.000000000,0.000000000,113.334030151,2.770999908,0.000000000,0.000000000,2.000000000
1502537171.542957783,1.118769884,1.060201645,0.184542060,-0.000085106,-0.000020429,-0.000083386,0.009139274,-0.015475135,1.541508198,0.860000000,-0.800000000,0.200000000,0.000000000,0.000000000,-0.040000000,-0.028099801,-0.030368729,-0.102974426,0.130000000,0.000000000,0.000000000,0.000000000,113.334030151,3.336999893,0.000000000,0.000000000,3.000000000
1502537171.543880701,1.118769884,1.060201645,0.184542060,-0.000085106,-0.000020429,-0.000083386,0.009139274,-0.015475135,1.541508198,0.860000000,-0.800000000,0.200000000,0.000000000,0.000000000,-0.040000000,-0.028099801,-0.030368729,-0.102974426,0.130000000,0.000000000,0.000000000,0.000000000,113.334030151,3.081000090,0.000000000,1.000000000,2.000000000
1502537171.568790197,1.118797183,1.060195208,0.184589803,-0.000017146,-0.000047743,-0.000005125,0.009316457,-0.015350917,1.541466594,0.890000000,-0.860000000,0.210000000,0.000000000,0.000000000,0.010000000,-0.028099801,-0.030194196,-0.101927228,0.140000000,0.000000000,0.000000000,0.000000000,113.218101501,2.897000074,1.000000000,0.000000000,2.000000000
1502537171.568893909,1.118797183,1.060195208,0.184589803,-0.000017146,-0.000047743,-0.000005125,0.009316457,-0.015350917,1.541466594,0.890000000,-0.860000000,0.210000000,0.000000000,0.000000000,0.010000000,-0.028099801,-0.030194196,-0.101927228,0.140000000,0.000000000,0.000000000,0.000000000,113.218101501,3.486999989,1.000000000,1.000000000,3.000000000
1502537171.593503237,1.118797183,1.060195208,0.184589803,-0.000017146,-0.000047743,-0.000005125,0.009316457,-0.015350917,1.541466594,0.900000000,-0.840000000,0.200000000,0.000000000,0.000000000,-0.050000000,-0.028099801,-0.030194196,-0.101752695,0.080000000,0.000000000,0.000000000,0.000000000,113.291488647,3.381000042,1.000000000,1.000000000,2.000000000
1502537171.594069004,1.118797183,1.060195208,0.184589803,-0.000017146,-0.000047743,-0.000005125,0.009316457,-0.015350917,1.541466594,0.900000000,-0.840000000,0.200000000,0.000000000,0.000000000,-0.050000000,-0.028099801,-0.030194196,-0.101752695,0.080000000,0.000000000,0.000000000,0.000000000,113.291488647,3.232000113,1.000000000,0.000000000,3.000000000
1502537171.634364367,1.118683815,1.060224175,0.184455618,-0.000198825,-0.000008991,-0.000221831,0.008889426,-0.015275381,1.541675329,0.910000000,-0.800000000,0.200000000,0.000000000,0.000000000,-0.020000000,-0.028099801,-0.030368729,-0.100530965,0.120000000,0.000000000,0.000000000,0.000000000,113.348403931,2.779000044,0.000000000,0.000000000,2.000000000
1502537171.634600163,1.118683815,1.060224175,0.184455618,-0.000198825,-0.000008991,-0.000221831,0.008889426,-0.015275381,1.541675329,0.910000000,-0.800000000,0.200000000,0.000000000,0.000000000,-0.020000000,-0.028099801,-0.030368729,-0.100530965,0.120000000,0.000000000,0.000000000,0.000000000,113.348403931,3.756999969,0.000000000,1.000000000,3.000000000
1502537171.659226418,1.118715763,1.060251117,0.184491009,-0.000189216,0.000066204,-0.000162659,0.008992560,-0.015238900,1.541559339,0.930000000,-0.850000000,0.210000000,0.000000000,0.000000000,0.020000000,-0.027925268,-0.030194196,-0.099832833,0.140000000,0.000000000,0.000000000,0.000000000,113.211021423,3.084000111,0.000000000,1.000000000,2.000000000
1502537171.659439564,1.118715763,1.060251117,0.184491009,-0.000189216,0.000066204,-0.000162659,0.008992560,-0.015238900,1.541559339,0.930000000,-0.850000000,0.210000000,0.000000000,0.000000000,0.020000000,-0.027925268,-0.030194196,-0.099832833,0.140000000,0.000000000,0.000000000,0.000000000,113.211021423,3.335000038,0.000000000,0.000000000,3.000000000
1502537171.686994553,1.118715763,1.060251117,0.184491009,-0.000189216,0.000066204,-0.000162659,0.008992560,-0.015238900,1.541559339,0.940000000,-0.860000000,0.180000000,0.000000000,0.000000000,-0.080000000,-0.027925268,-0.030194196,-0.099832833,0.140000000,0.000000000,0.000000000,0.000000000,113.140052795,2.937000036,1.000000000,0.000000000,2.000000000
1502537171.688817501,1.118715763,1.060251117,0.184491009,-0.000189216,0.000066204,-0.000162659,0.008992560,-0.015238900,1.541559339,0.940000000,-0.860000000,0.180000000,0.000000000,0.000000000,-0.080000000,-0.027925268,-0.030194196,-0.099832833,0.140000000,0.000000000,0.000000000,0.000000000,113.140052795,3.490000010,1.000000000,1.000000000,3.000000000
1502537171.709007978,1.118834615,1.060226798,0.184638053,-0.000004806,0.000094558,0.000068575,0.009413029,-0.015393053,1.541381478,0.950000000,-0.850000000,0.140000000,0.000000000,0.000000000,-0.190000000,-0.027925268,-0.030368729,-0.100007366,0.120000000,0.000000000,0.000000000,0.000000000,113.140052795,3.378000021,1.000000000,1.000000000,2.000000000
1502537171.709114790,1.118834615,1.060226798,0.184638053,-0.000004806,0.000094558,0.000068575,0.009413029,-0.015393053,1.541381478,0.950000000,-0.850000000,0.140000000,0.000000000,0.000000000,-0.190000000,-0.027925268,-0.030368729,-0.100007366,0.120000000,0.000000000,0.000000000,0.000000000,113.140052795,3.233000040,1.000000000,0.000000000,3.000000000
1502537171.751438379,1.118746281,1.060221791,0.184537962,-0.000022599,0.000095053,0.000051829,0.009192116,-0.015082945,1.541517496,0.970000000,-0.870000000,0.120000000,0.000000000,0.000000000,-0.200000000,-0.027925268,-0.030368729,-0.098087504,0.180000000,0.000000000,0.000000000,0.000000000,113.241722107,2.772000074,0.000000000,0.000000000,2.000000000
1502537171.751468182,1.118746281,1.060221791,0.184537962,-0.000022599,0.000095053,0.000051829,0.009192116,-0.015082945,1.541517496,0.970000000,-0.870000000,0.120000000,0.000000000,0.000000000,-0.200000000,-0.027925268,-0.030368729,-0.098087504,0.180000000,0.000000000,0.000000000,0.000000000,113.342353821,3.713000059,0.000000000,1.000000000,3.000000000
1502537171.774535656,1.118778706,1.060222626,0.184581473,-0.000001873,0.000094552,0.000083980,0.009248703,-0.015588532,1.541445851,0.970000000,-0.860000000,0.100000000,0.000000000,0.000000000,-0.260000000,-0.027925268,-0.030368729,-0.098087504,0.140000000,0.000000000,0.000000000,0.000000000,113.342353821,3.375000000,0.000000000,0.000000000,3.000000000
1502537171.775392294,1.118778706,1.060222626,0.184581473,-0.000001873,0.000094552,0.000083980,0.009248703,-0.015588532,1.541445851,0.970000000,-0.860000000,0.100000000,0.000000000,0.000000000,-0.260000000,-0.027925268,-0.030368729,-0.098087504,0.140000000,0.000000000,0.000000000,0.000000000,113.342353821,3.078999996,0.000000000,1.000000000,2.000000000
1502537171.799626112,1.118778706,1.060222626,0.184581473,-0.000001873,0.000094552,0.000083980,0.009248703,-0.015588532,1.541445851,0.970000000,-0.840000000,0.080000000,0.000000000,0.000000000,-0.290000000,-0.027925268,-0.030368729,-0.097912971,0.140000000,0.000000000,0.000000000,0.000000000,113.367614746,2.892999887,1.000000000,0.000000000,2.000000000
1502537171.800915003,1.118778706,1.060222626,0.184581473,-0.000001873,0.000094552,0.000083980,0.009248703,-0.015588532,1.541445851,0.970000000,-0.840000000,0.080000000,0.000000000,0.000000000,-0.290000000,-0.027925268,-0.030368729,-0.097912971,0.140000000,0.000000000,0.000000000,0.000000000,113.367614746,3.487999916,1.000000000,1.000000000,3.000000000
1502537171.824648619,1.118745923,1.060208797,0.184561312,-0.000006309,0.000049617,0.000090534,0.009236439,-0.015425431,1.541482449,0.970000000,-0.840000000,0.070000000,0.000000000,0.000000000,-0.290000000,-0.027925268,-0.030368729,-0.097912971,0.090000000,0.000000000,0.000000000,0.000000000,113.396728516,3.423000097,1.000000000,1.000000000,2.000000000
1502537171.825613737,1.118745923,1.060208797,0.184561312,-0.000006309,0.000049617,0.000090534,0.009236439,-0.015425431,1.541482449,0.970000000,-0.840000000,0.070000000,0.000000000,0.000000000,-0.290000000,-0.027925268,-0.030368729,-0.097912971,0.090000000,0.000000000,0.000000000,0.000000000,113.396728516,3.232000113,1.000000000,0.000000000,3.000000000
1502537171.865804195,1.118745923,1.060208797,0.184561312,-0.000006309,0.000049617,0.000090534,0.009236439,-0.015425431,1.541482449,0.990000000,-0.860000000,0.080000000,0.000000000,0.000000000,-0.240000000,-0.027925268,-0.030368729,-0.096516708,0.120000000,0.000000000,0.000000000,0.000000000,113.286918640,3.721999884,0.000000000,1.000000000,3.000000000
1502537171.866841078,1.118745923,1.060208797,0.184561312,-0.000006309,0.000049617,0.000090534,0.009236439,-0.015425431,1.541482449,0.990000000,-0.860000000,0.080000000,0.000000000,0.000000000,-0.240000000,-0.027925268,-0.030368729,-0.096516708,0.120000000,0.000000000,0.000000000,0.000000000,113.286918640,2.776000023,0.000000000,0.000000000,2.000000000
1502537171.891481638,1.118708134,1.060214758,0.184499934,-0.000064481,0.000043355,0.000021142,0.009067165,-0.015269655,1.541642547,0.990000000,-0.860000000,0.080000000,0.000000000,0.000000000,-0.240000000,-0.027925268,-0.030368729,-0.096516708,0.120000000,0.000000000,0.000000000,0.000000000,113.286918640,3.076999903,0.000000000,1.000000000,2.000000000
1502537171.891514778,1.118708134,1.060214758,0.184499934,-0.000064481,0.000043355,0.000021142,0.009067165,-0.015269655,1.541642547,0.990000000,-0.860000000,0.080000000,0.000000000,0.000000000,-0.240000000,-0.027925268,-0.030368729,-0.096516708,0.120000000,0.000000000,0.000000000,0.000000000,113.286918640,3.371000051,0.000000000,0.000000000,3.000000000
1502537171.916614056,1.118728280,1.060220361,0.184510902,-0.000138282,0.000053183,-0.000077401,0.009015342,-0.015528705,1.541536331,0.990000000,-0.860000000,0.070000000,0.000000000,0.000000000,-0.250000000,-0.027750735,-0.030368729,-0.096516708,0.130000000,0.000000000,0.000000000,0.000000000,113.288864136,2.937000036,1.000000000,0.000000000,2.000000000
1502537171.916655540,1.118728280,1.060220361,0.184510902,-0.000138282,0.000053183,-0.000077401,0.009015342,-0.015528705,1.541536331,0.990000000,-0.860000000,0.070000000,0.000000000,0.000000000,-0.250000000,-0.027750735,-0.030368729,-0.096516708,0.130000000,0.000000000,0.000000000,0.000000000,113.288864136,3.486999989,1.000000000,1.000000000,3.000000000
1502537171.942037106,1.118728280,1.060220361,0.184510902,-0.000138282,0.000053183,-0.000077401,0.009015342,-0.015528705,1.541536331,1.000000000,-0.880000000,0.080000000,0.000000000,0.000000000,-0.200000000,-0.027750735,-0.030543262,-0.096342175,0.180000000,0.000000000,0.000000000,0.000000000,113.346710205,3.375000000,1.000000000,1.000000000,2.000000000
1502537171.942091465,1.118728280,1.060220361,0.184510902,-0.000138282,0.000053183,-0.000077401,0.009015342,-0.015528705,1.541536331,1.000000000,-0.880000000,0.080000000,0.000000000,0.000000000,-0.200000000,-0.027750735,-0.030543262,-0.096342175,0.180000000,0.000000000,0.000000000,0.000000000,113.346710205,3.234999895,1.000000000,0.000000000,3.000000000
1502537171.987893820,1.118760228,1.060238361,0.184528828,-0.000084862,0.000092866,-0.000067547,0.009065691,-0.015165353,1.541501045,1.010000000,-0.900000000,0.080000000,0.000000000,0.000000000,-0.200000000,-0.027750735,-0.030543262,-0.095469510,0.140000000,0.000000000,0.000000000,0.000000000,113.263565063,2.813999891,0.000000000,0.000000000,2.000000000
1502537171.987930059,1.118760228,1.060238361,0.184528828,-0.000084862,0.000092866,-0.000067547,0.009065691,-0.015165353,1.541501045,1.010000000,-0.900000000,0.080000000,0.000000000,0.000000000,-0.200000000,-0.027750735,-0.030543262,-0.095469510,0.140000000,0.000000000,0.000000000,0.000000000,113.263565063,3.719000101,0.000000000,1.000000000,3.000000000
1502537172.006647825,1.118760228,1.060238361,0.184528828,-0.000084862,0.000092866,-0.000067547,0.009065691,-0.015165353,1.541501045,1.010000000,-0.900000000,0.080000000,0.000000000,0.000000000,-0.200000000,-0.027750735,-0.030543262,-0.095469510,0.140000000,0.000000000,0.000000000,0.000000000,113.258361816,3.371999979,0.000000000,0.000000000,3.000000000
1502537172.007403851,1.118760228,1.060238361,0.184528828,-0.000084862,0.000092866,-0.000067547,0.009065691,-0.015165353,1.541501045,1.010000000,-0.900000000,0.080000000,0.000000000,0.000000000,-0.200000000,-0.027750735,-0.030543262,-0.095469510,0.140000000,0.000000000,0.000000000,0.000000000,113.258361816,3.081000090,0.000000000,1.000000000,2.000000000
1502537172.031635761,1.118867874,1.060173154,0.184582025,0.000058406,-0.000007785,-0.000037069,0.009301160,-0.015451561,1.541423917,1.010000000,-0.890000000,0.070000000,0.000000000,0.000000000,-0.200000000,-0.027750735,-0.030543262,-0.095469510,0.130000000,0.000000000,0.000000000,0.000000000,113.180992126,2.888999939,1.000000000,0.000000000,2.000000000
1502537172.031773090,1.118867874,1.060173154,0.184582025,0.000058406,-0.000007785,-0.000037069,0.009301160,-0.015451561,1.541423917,1.010000000,-0.890000000,0.070000000,0.000000000,0.000000000,-0.200000000,-0.027750735,-0.030543262,-0.095469510,0.130000000,0.000000000,0.000000000,0.000000000,113.180992126,3.486000061,1.000000000,1.000000000,3.000000000
1502537172.057109356,1.118801713,1.060244679,0.184601888,0.000076240,0.000007611,0.000008772,0.009278470,-0.015530143,1.541409492,1.010000000,-0.890000000,0.080000000,0.000000000,0.000000000,-0.190000000,-0.027750735,-0.030543262,-0.095469510,0.170000000,0.000000000,0.000000000,0.000000000,113.149093628,3.421000004,1.000000000,1.000000000,2.000000000
1502537172.057502031,1.118801713,1.060244679,0.184601888,0.000076240,0.000007611,0.000008772,0.009278470,-0.015530143,1.541409492,1.010000000,-0.890000000,0.080000000,0.000000000,0.000000000,-0.190000000,-0.027750735,-0.030543262,-0.095469510,0.170000000,0.000000000,0.000000000,0.000000000,113.149093628,3.239000082,1.000000000,0.000000000,3.000000000
1502537172.097640276,1.118723392,1.060207009,0.184511662,0.000007434,-0.000011879,-0.000008925,0.009105577,-0.015223107,1.541660547,1.020000000,-0.910000000,0.080000000,0.010000000,0.000000000,-0.170000000,-0.027750735,-0.030717795,-0.095294977,0.140000000,0.000000000,0.000000000,0.000000000,113.222877502,3.714999914,0.000000000,1.000000000,3.000000000
1502537172.098434448,1.118723392,1.060207009,0.184511662,0.000007434,-0.000011879,-0.000008925,0.009105577,-0.015223107,1.541660547,1.020000000,-0.910000000,0.080000000,0.010000000,0.000000000,-0.170000000,-0.027750735,-0.030717795,-0.095294977,0.140000000,0.000000000,0.000000000,0.000000000,113.222877502,2.736999989,0.000000000,0.000000000,2.000000000
1502537172.122611046,1.118772268,1.060215950,0.184550300,0.000014727,-0.000032831,-0.000032295,0.009161530,-0.015497689,1.541510701,1.030000000,-0.930000000,0.090000000,0.010000000,0.000000000,-0.150000000,-0.027750735,-0.030717795,-0.094945911,0.120000000,0.000000000,0.000000000,0.000000000,113.355285645,3.335000038,0.000000000,0.000000000,3.000000000
1502537172.123569489,1.118772268,1.060215950,0.184550300,0.000014727,-0.000032831,-0.000032295,0.009161530,-0.015497689,1.541510701,1.030000000,-0.930000000,0.090000000,0.010000000,0.000000000,-0.150000000,-0.027750735,-0.030717795,-0.094945911,0.120000000,0.000000000,0.000000000,0.000000000,113.355285645,3.075999975,0.000000000,1.000000000,2.000000000
1502537172.147983789,1.118694186,1.060188770,0.184446022,-0.000053188,-0.000058612,-0.000127841,0.008907662,-0.015304120,1.541696191,1.030000000,-0.930000000,0.090000000,0.010000000,0.000000000,-0.150000000,-0.027750735,-0.030717795,-0.094945911,0.120000000,0.000000000,0.000000000,0.000000000,113.355285645,2.895999908,1.000000000,0.000000000,2.000000000
1502537172.152159929,1.118694186,1.060188770,0.184446022,-0.000053188,-0.000058612,-0.000127841,0.008907662,-0.015304120,1.541696191,1.030000000,-0.930000000,0.090000000,0.010000000,0.000000000,-0.150000000,-0.027750735,-0.030717795,-0.094945911,0.120000000,0.000000000,0.000000000,0.000000000,113.331504822,3.487999916,1.000000000,1.000000000,3.000000000
1502537172.172702074,1.118779540,1.060227990,0.184575260,-0.000015856,-0.000036526,-0.000064519,0.009258771,-0.015635140,1.541457415,1.020000000,-0.920000000,0.100000000,0.010000000,0.000000000,-0.130000000,-0.027750735,-0.030717795,-0.094771378,0.140000000,0.000000000,0.000000000,0.000000000,113.331504822,3.270999908,1.000000000,0.000000000,3.000000000
1502537172.172751188,1.118779540,1.060227990,0.184575260,-0.000015856,-0.000036526,-0.000064519,0.009258771,-0.015635140,1.541457415,1.020000000,-0.920000000,0.100000000,0.010000000,0.000000000,-0.130000000,-0.027750735,-0.030717795,-0.094771378,0.140000000,0.000000000,0.000000000,0.000000000,113.331504822,3.427999973,1.000000000,1.000000000,2.000000000
