t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, px4Ro, px4Pi, px4Ya, px4Lidar, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRspdrId, uwbRqstrId
1502520952.928405762,-1.298922300,-0.802803218,0.213533223,-0.000013333,0.000008206,-0.000026143,0.017956670,-0.012043156,1.674860358,0.000000000,0.000000000,0.080000000,0.000000000,0.000000000,-0.090000000,-0.026354472,0.026703538,-0.132470490,0.120000000,0.000000000,0.000000000,0.000000000,0.000000000,4.853000164,0.000000000,1.000000000,3.000000000
1502520952.953387737,-1.298922300,-0.802803218,0.213533223,-0.000013333,0.000008206,-0.000026143,0.017956670,-0.012043156,1.674860358,-0.570000000,-0.120000000,0.070000000,0.000000000,0.000000000,0.000000000,-0.026354472,0.026703538,-0.132470490,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,5.058000088,0.000000000,0.000000000,3.000000000
1502520952.978472471,-1.298916340,-0.802826166,0.213534191,-0.000005200,-0.000006872,-0.000036862,0.017919390,-0.011953900,1.674853325,-0.570000000,-0.120000000,0.070000000,0.000000000,0.000000000,0.000000000,-0.026354472,0.026703538,-0.132470490,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,5.018000126,1.000000000,1.000000000,3.000000000
1502520953.003726721,-1.298916340,-0.802826166,0.213534191,-0.000005200,-0.000006872,-0.000036862,0.017919390,-0.011953900,1.674853325,-0.900000000,1.310000000,0.100000000,0.000000000,0.000000000,0.000000000,-0.026354472,0.026703538,-0.132470490,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,5.245999813,1.000000000,0.000000000,3.000000000
1502520953.044541597,-1.298915625,-0.802798867,0.213532254,-0.000008518,0.000010473,-0.000033960,0.017860584,-0.011889688,1.674819708,-1.240000000,0.630000000,0.890000000,0.000000000,0.000000000,0.000000000,-0.026354472,0.026703538,-0.131074227,0.080000000,0.000000000,0.000000000,0.000000000,0.000000000,4.853000164,0.000000000,1.000000000,3.000000000
1502520953.069715738,-1.298917890,-0.802822173,0.213517308,-0.000018457,-0.000001509,-0.000047175,0.017983556,-0.011988916,1.674823642,-1.240000000,0.630000000,0.890000000,0.000000000,0.000000000,0.000000000,-0.026354472,0.026703538,-0.131074227,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,5.059000015,0.000000000,0.000000000,3.000000000
1502520953.095993996,-1.298903346,-0.802796483,0.213532701,-0.000010587,0.000016377,-0.000040539,0.017869310,-0.011988145,1.674807668,-1.140000000,0.750000000,0.830000000,0.000000000,0.000000000,0.050000000,-0.026529005,0.026703538,-0.130027029,0.190000000,0.000000000,0.000000000,0.000000000,0.000000000,4.984000206,1.000000000,1.000000000,3.000000000
1502520953.120173454,-1.298908591,-0.802808821,0.213530406,-0.000003064,0.000023316,-0.000015214,0.017880345,-0.011998603,1.674829125,-1.110000000,0.620000000,0.830000000,0.000000000,0.000000000,0.070000000,-0.026529005,0.026703538,-0.129328898,0.180000000,0.000000000,0.000000000,0.000000000,0.000000000,5.243000031,1.000000000,0.000000000,3.000000000
1502520953.160705805,-1.298908591,-0.802808821,0.213530406,-0.000003064,0.000023316,-0.000015214,0.017880345,-0.011998603,1.674829125,-1.110000000,0.670000000,0.840000000,0.000000000,0.000000000,0.080000000,-0.026529005,0.026703538,-0.129328898,0.170000000,0.000000000,0.000000000,0.000000000,0.000000000,4.883999825,0.000000000,1.000000000,3.000000000
1502520953.185436010,-1.298902869,-0.802814484,0.213507935,0.000019986,0.000017905,-0.000058933,0.017817238,-0.011874434,1.674822092,-1.110000000,0.660000000,0.840000000,0.000000000,0.000000000,0.080000000,-0.026529005,0.026529005,-0.129328898,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,5.096000195,0.000000000,0.000000000,3.000000000
1502520953.210713625,-1.298902869,-0.802814484,0.213507935,0.000019986,0.000017905,-0.000058933,0.017817238,-0.011874434,1.674822092,-1.050000000,0.770000000,0.680000000,0.000000000,0.000000000,-0.190000000,-0.026529005,0.026529005,-0.128979832,0.190000000,0.000000000,0.000000000,0.000000000,0.000000000,5.011000156,1.000000000,1.000000000,3.000000000
1502520953.235726357,-1.298902273,-0.802811325,0.213524953,0.000026646,0.000011609,-0.000060363,0.017842723,-0.011931487,1.674796104,-1.040000000,0.750000000,0.590000000,0.000000000,0.000000000,-0.440000000,-0.026529005,0.026529005,-0.128805299,0.090000000,0.000000000,0.000000000,0.000000000,0.000000000,5.243000031,1.000000000,0.000000000,3.000000000
1502520953.276624441,-1.298891664,-0.802795291,0.213520780,0.000037366,0.000025890,-0.000058605,0.017924167,-0.011910387,1.674848080,-1.040000000,0.750000000,0.570000000,0.000000000,0.000000000,-0.440000000,-0.026529005,0.026703538,-0.128805299,0.120000000,0.000000000,0.000000000,0.000000000,0.000000000,4.888000011,0.000000000,1.000000000,3.000000000
1502520953.301590919,-1.298896551,-0.802815497,0.213521913,0.000026374,0.000003525,-0.000040070,0.017855890,-0.011967430,1.674841046,-1.020000000,0.740000000,0.300000000,0.000000000,0.000000000,-1.230000000,-0.026529005,0.026529005,-0.128805299,0.180000000,0.000000000,0.000000000,0.000000000,0.000000000,5.094999790,0.000000000,0.000000000,3.000000000
1502520953.326655388,-1.298907042,-0.802816033,0.213520959,0.000018672,-0.000003970,-0.000038673,0.017866448,-0.012036224,1.674829960,-1.000000000,0.820000000,0.290000000,0.000000000,0.000000000,-1.130000000,-0.026703538,0.026529005,-0.128107167,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,4.979000092,1.000000000,1.000000000,3.000000000
1502520953.351889610,-1.298907995,-0.802807808,0.213490471,0.000011050,-0.000001222,-0.000069568,0.017841309,-0.011994180,1.674808502,-0.990000000,0.800000000,0.260000000,0.000000000,0.000000000,-1.110000000,-0.026703538,0.026529005,-0.127758101,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,5.243000031,1.000000000,0.000000000,3.000000000
1502520953.392588377,-1.298901677,-0.802801728,0.213530362,0.000011349,0.000007609,-0.000050601,0.017844191,-0.011927620,1.674820065,-0.980000000,0.770000000,0.100000000,0.000000000,0.000000000,-1.390000000,-0.026703538,0.026529005,-0.128107167,0.120000000,0.000000000,0.000000000,0.000000000,0.000000000,4.855000019,0.000000000,1.000000000,3.000000000
1502520953.417876959,-1.298904896,-0.802813828,0.213526368,0.000004505,0.000007808,-0.000038922,0.017818505,-0.011933848,1.674804807,-0.950000000,0.860000000,0.090000000,0.000000000,0.000000000,-1.270000000,-0.026703538,0.026703538,-0.127409035,0.180000000,0.000000000,0.000000000,0.000000000,0.000000000,5.059999943,0.000000000,0.000000000,3.000000000
1502520953.442832470,-1.298914313,-0.802814543,0.213541999,-0.000012261,-0.000009577,0.000019278,0.017875968,-0.012013412,1.674803734,-0.950000000,0.860000000,0.050000000,0.000000000,0.000000000,-1.270000000,-0.026703538,0.026703538,-0.127409035,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,4.980000019,1.000000000,1.000000000,3.000000000
1502520953.467865467,-1.298920631,-0.802824438,0.213531494,-0.000028278,-0.000024019,0.000025645,0.017892003,-0.011982304,1.674804568,-0.940000000,0.820000000,0.020000000,0.000000000,0.000000000,-1.260000000,-0.026703538,0.026878070,-0.127234502,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,5.247000217,1.000000000,0.000000000,3.000000000
1502520953.508478403,-1.298920631,-0.802824438,0.213531494,-0.000028278,-0.000024019,0.000025645,0.017892003,-0.011982304,1.674804568,-0.940000000,0.790000000,0.020000000,0.000000000,0.000000000,-1.360000000,-0.026703538,0.026878070,-0.127234502,0.180000000,0.000000000,0.000000000,0.000000000,0.000000000,4.852000237,0.000000000,1.000000000,3.000000000
1502520953.533527136,-1.298884392,-0.802796960,0.213527709,0.000005409,0.000002516,0.000035651,0.017811961,-0.011946038,1.674821615,-0.940000000,0.780000000,-0.040000000,0.000000000,0.000000000,-1.430000000,-0.026703538,0.026878070,-0.127234502,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,5.094999790,0.000000000,0.000000000,3.000000000
1502520953.559953451,-1.298906684,-0.802816570,0.213544250,0.000017027,-0.000016681,0.000053255,0.017909564,-0.011910136,1.674823761,-0.910000000,0.860000000,0.000000000,0.010000000,0.000000000,-1.420000000,-0.026878070,0.027052603,-0.126710904,0.090000000,0.000000000,0.000000000,0.000000000,0.000000000,5.013999939,1.000000000,1.000000000,3.000000000
1502520953.585109711,-1.298906684,-0.802816570,0.213544250,0.000017027,-0.000016681,0.000053255,0.017909564,-0.011910136,1.674823761,-0.910000000,0.860000000,0.000000000,0.010000000,0.000000000,-1.420000000,-0.026878070,0.027052603,-0.126710904,0.090000000,0.000000000,0.000000000,0.000000000,0.000000000,5.249000072,1.000000000,0.000000000,3.000000000
1502520953.625757933,-1.298917174,-0.802817643,0.213512704,-0.000007930,-0.000024245,0.000017672,0.017902277,-0.012037339,1.674890041,-0.910000000,0.840000000,0.000000000,0.010000000,0.000000000,-1.420000000,-0.026878070,0.027052603,-0.126710904,0.080000000,0.000000000,0.000000000,0.000000000,0.000000000,4.888000011,0.000000000,1.000000000,3.000000000
1502520953.650001049,-1.298892856,-0.802820921,0.213535175,0.000004856,-0.000029493,0.000022857,0.017832110,-0.011988215,1.674799919,-0.910000000,0.840000000,-0.030000000,0.010000000,0.000000000,-1.420000000,-0.026703538,0.027052603,-0.126710904,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,5.091000080,0.000000000,0.000000000,3.000000000
1502520953.674479008,-1.298892856,-0.802820921,0.213535175,0.000004856,-0.000029493,0.000022857,0.017832110,-0.011988215,1.674799919,-0.890000000,0.900000000,0.030000000,0.010000000,0.000000000,-1.380000000,-0.026878070,0.027052603,-0.126187305,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,4.979000092,1.000000000,1.000000000,3.000000000
1502520953.699753761,-1.298897743,-0.802795351,0.213534072,0.000018336,0.000000149,0.000022815,0.017837819,-0.011956307,1.674846411,-0.890000000,0.890000000,0.020000000,0.010000000,0.000000000,-1.330000000,-0.026703538,0.027227136,-0.125663706,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,5.256000042,1.000000000,0.000000000,3.000000000
1502520953.741289616,-1.298884273,-0.802813053,0.213530913,0.000033655,0.000000293,0.000002795,0.017821202,-0.011992745,1.674800634,-0.890000000,0.910000000,0.010000000,0.010000000,0.000000000,-1.260000000,-0.026703538,0.027052603,-0.126187305,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,4.889999866,0.000000000,1.000000000,3.000000000
1502520953.765538931,-1.298895478,-0.802818596,0.213538304,0.000034205,-0.000005992,0.000012835,0.017967463,-0.011982803,1.674854279,-0.870000000,0.950000000,0.000000000,0.020000000,0.000000000,-1.270000000,-0.026703538,0.027227136,-0.125663706,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,5.058000088,0.000000000,0.000000000,3.000000000
