t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRqstrId
1501404572.544677019,-0.502156556,-1.906494021,0.215755135,0.000025971,-0.000090312,0.000078892,0.003674684,-0.009797912,1.510584593,-0.000094710,0.000603312,0.179999992,-0.000063144,0.000008138,-0.003754692,0.000000000,0.000000000,0.000000000,0.000000000,5.019999981,16.000000000,2.000000000
1501404572.563042641,-0.502156556,-1.906494021,0.215755135,0.000025971,-0.000090312,0.000078892,0.003674684,-0.009797912,1.510584593,-0.000094710,0.000603312,0.179999992,-0.000063144,0.000008138,-0.003754692,0.000000000,0.000000000,0.000000000,0.000000000,4.994999886,17.000000000,2.000000000
1501404572.592537642,-0.502160788,-1.906466365,0.215728968,0.000127682,-0.000031895,0.000044558,0.003533534,-0.009809093,1.510632634,-0.000094710,0.000603312,0.179999992,-0.000063144,0.000008138,-0.003754692,0.000000000,0.000000000,0.000000000,0.000000000,4.698999882,0.000000000,1.000000000
1501404572.624636650,-0.502165556,-1.906466722,0.215717584,0.000120392,0.000045488,0.000023590,0.003688851,-0.009615349,1.510698676,-4.603656769,9.121654510,0.129999995,-0.005971194,-0.000224161,-0.007788915,0.000000000,0.000000000,0.000000000,32.305862427,5.138000011,0.000000000,2.000000000
1501404572.640645266,-0.502165556,-1.906466722,0.215717584,0.000120392,0.000045488,0.000023590,0.003688851,-0.009615349,1.510698676,-4.603656769,9.121654510,0.129999995,-0.005971194,-0.000224161,-0.007788915,0.000000000,0.000000000,0.000000000,32.246971130,5.227000237,1.000000000,2.000000000
1501404572.656501770,-0.502108753,-1.906496286,0.215734869,0.000141532,0.000053787,0.000018325,0.003621810,-0.009992413,1.510534286,-4.603656769,9.121654510,0.129999995,-0.005971194,-0.000224161,-0.007788915,0.000000000,0.000000000,0.000000000,32.246971130,4.482999802,16.000000000,1.000000000
1501404572.672782421,-0.502108753,-1.906496286,0.215734869,0.000141532,0.000053787,0.000018325,0.003621810,-0.009992413,1.510534286,-2.234574318,0.783526599,0.199999988,0.236930236,-0.122556351,-0.000604427,0.000000000,0.000000000,0.000000000,32.507087708,4.492000103,17.000000000,1.000000000
1501404572.688720465,-0.502108753,-1.906496286,0.215734869,0.000141532,0.000053787,0.000018325,0.003621810,-0.009992413,1.510534286,-2.234574318,0.783526599,0.199999988,0.236930236,-0.122556351,-0.000604427,0.000000000,0.000000000,0.000000000,32.507087708,5.013000011,16.000000000,2.000000000
1501404572.704668760,-0.502108753,-1.906496286,0.215734869,0.000141532,0.000053787,0.000018325,0.003621810,-0.009992413,1.510534286,-2.234574318,0.783526599,0.199999988,0.236930236,-0.122556351,-0.000604427,0.000000000,0.000000000,0.000000000,48.881622314,4.998000145,17.000000000,2.000000000
1501404572.736444950,-0.502195597,-1.906471610,0.215727612,0.000097633,0.000116690,0.000006165,0.003616876,-0.009563036,1.510561347,-1.885332227,0.019032717,0.219999999,0.000060288,-0.000050366,0.000303438,0.000000000,0.000000000,0.000000000,48.917415619,4.698999882,0.000000000,1.000000000
1501404572.752868176,-0.502195597,-1.906471610,0.215727612,0.000097633,0.000116690,0.000006165,0.003616876,-0.009563036,1.510561347,-1.885332227,0.019032717,0.219999999,0.000060288,-0.000050366,0.000303438,0.000000000,0.000000000,0.000000000,48.917415619,4.579999924,1.000000000,1.000000000
