t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRspdrId, uwbRqstrId
1501485605.667059898,0.155024648,-2.093819380,0.206104830,0.000009633,-0.000008930,0.000010364,0.004003500,0.006761494,1.609624743,0.001701645,-0.001360616,0.119999997,-0.001453947,-0.001882930,-0.049582519,0.000000000,0.000000000,0.000000000,86.697769165,2.907000065,1.000000000,0.000000000,3.000000000
1501485605.708176136,0.155099586,-2.093801260,0.206116468,0.000059122,0.000006186,0.000017907,0.004058461,0.006782707,1.609436512,0.001674044,-0.001344672,0.179999992,-0.001590539,-0.001245447,-0.043559581,0.000000000,0.000000000,0.000000000,86.804206848,2.925299883,0.000000000,1.000000000,3.000000000
1501485605.733162642,0.155099586,-2.093801260,0.206116468,0.000059122,0.000006186,0.000017907,0.004058461,0.006782707,1.609436512,-2.000004768,-0.000003845,0.170000002,-0.000189619,0.000166127,0.009279815,0.000000000,0.000000000,0.000000000,86.893287659,2.848299980,0.000000000,0.000000000,3.000000000
1501485605.758059740,0.155018404,-2.093812227,0.206095487,0.000004527,0.000035637,0.000027542,0.004214926,0.006654750,1.609350681,-2.000004768,-0.000003845,0.170000002,-0.000189619,0.000166127,0.009279815,0.000000000,0.000000000,0.000000000,86.738540649,2.796999931,1.000000000,1.000000000,3.000000000
1501485605.783490658,0.155018404,-2.093812227,0.206095487,0.000004527,0.000035637,0.000027542,0.004214926,0.006654750,1.609350681,-2.235297203,0.254842401,0.170000002,-0.000107483,0.000207162,0.021575518,0.000000000,0.000000000,0.000000000,86.833709717,2.904000044,1.000000000,0.000000000,3.000000000
1501485605.824018717,0.155024990,-2.093821287,0.206098154,-0.000006216,-0.000021110,-0.000005334,0.003974268,0.006765490,1.609489322,-2.160573244,-0.089929916,0.129999995,0.000155324,-0.000053891,0.075591981,0.000000000,0.000000000,0.000000000,86.735313416,2.928299904,0.000000000,1.000000000,3.000000000
1501485605.849643469,0.155024990,-2.093821287,0.206098154,-0.000006216,-0.000021110,-0.000005334,0.003974268,0.006765490,1.609489322,-2.160573244,-0.089929916,0.129999995,0.000155324,-0.000053891,0.075591981,0.000000000,0.000000000,0.000000000,86.682029724,2.395999908,0.000000000,1.000000000,2.000000000
1501485605.849700689,0.155024990,-2.093821287,0.206098154,-0.000006216,-0.000021110,-0.000005334,0.003974268,0.006765490,1.609489322,-2.160573244,-0.089929916,0.129999995,0.000155324,-0.000053891,0.075591981,0.000000000,0.000000000,0.000000000,86.682029724,2.855299950,0.000000000,0.000000000,3.000000000
1501485605.874709129,0.155024990,-2.093821287,0.206098154,-0.000006216,-0.000021110,-0.000005334,0.003974268,0.006765490,1.609489322,-2.160573244,-0.089929916,0.129999995,0.000155324,-0.000053891,0.075591981,0.000000000,0.000000000,0.000000000,86.682029724,2.394599915,1.000000000,0.000000000,2.000000000
1501485605.874805927,0.155024990,-2.093821287,0.206098154,-0.000006216,-0.000021110,-0.000005334,0.003974268,0.006765490,1.609489322,-2.160573244,-0.089929916,0.129999995,0.000155324,-0.000053891,0.075591981,0.000000000,0.000000000,0.000000000,86.682029724,2.799000025,1.000000000,1.000000000,3.000000000
