t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRqstrId
1501401247.836450577,-0.004707995,-1.920665622,0.210423499,0.000094680,-0.000004997,0.000088520,0.000257442,0.001237790,1.497332096,0.001194574,-0.001055261,0.170000002,0.000296831,-0.000596860,-0.141155064,0.000000000,0.000000000,0.000000000,0.000000000,5.092000008,16.000000000,2.000000000
1501401247.852206230,-0.004707995,-1.920665622,0.210423499,0.000094680,-0.000004997,0.000088520,0.000257442,0.001237790,1.497332096,0.001193314,-0.001061573,0.179999992,0.000478801,-0.000375060,-0.147405773,0.000000000,0.000000000,0.000000000,0.000000000,4.999000072,17.000000000,2.000000000
1501401247.884504557,-0.004530576,-1.920670986,0.210512832,0.000255930,-0.000017088,0.000178569,0.000679752,0.001896372,1.496696353,0.001193314,-0.001061573,0.179999992,0.000478801,-0.000375060,-0.147405773,0.000000000,0.000000000,0.000000000,0.000000000,4.622000217,0.000000000,1.000000000
1501401247.900303364,-0.004663392,-1.920687914,0.210424632,0.000220566,-0.000048918,0.000154959,0.000335295,0.001496554,1.497424483,-4.603932858,9.110260010,0.179999992,0.000119927,-0.000391761,-0.009873427,0.000000000,0.000000000,0.000000000,0.000000000,4.574999809,1.000000000,1.000000000
1501401247.916454554,-0.004760772,-1.920661926,0.210352555,0.000082857,-0.000046041,0.000055281,0.000061113,0.001627934,1.497341752,-4.603932858,9.110260010,0.179999992,0.000119927,-0.000391761,-0.009873427,0.000000000,0.000000000,0.000000000,0.000000000,5.094999790,0.000000000,2.000000000
1501401247.932286978,-0.004760772,-1.920661926,0.210352555,0.000082857,-0.000046041,0.000055281,0.000061113,0.001627934,1.497341752,-4.603932858,9.110260010,0.179999992,0.000119927,-0.000391761,-0.009873427,0.000000000,0.000000000,0.000000000,0.000000000,5.131000042,1.000000000,2.000000000
1501401247.948222160,-0.004740573,-1.920628667,0.210331380,-0.000009476,-0.000007028,-0.000049933,-0.000100630,0.001571164,1.497546077,-1.720489502,-2.743520260,0.149999991,0.277103245,-0.021477111,0.073380731,0.000000000,0.000000000,0.000000000,0.000000000,4.486999989,16.000000000,1.000000000
1501401247.964461803,-0.004701110,-1.920660853,0.210415393,-0.000042319,-0.000009602,-0.000044629,0.000151508,0.001382444,1.497254968,-1.720489502,-2.743520260,0.149999991,0.277103245,-0.021477111,0.073380731,0.000000000,0.000000000,0.000000000,0.000000000,4.574999809,17.000000000,1.000000000
1501401247.980257273,-0.004701110,-1.920660853,0.210415393,-0.000042319,-0.000009602,-0.000044629,0.000151508,0.001382444,1.497254968,-1.720489502,-2.743520260,0.149999991,0.277103245,-0.021477111,0.073380731,0.000000000,0.000000000,0.000000000,0.000000000,5.086999893,16.000000000,2.000000000
1501401247.996024132,-0.004701110,-1.920660853,0.210415393,-0.000042319,-0.000009602,-0.000044629,0.000151508,0.001382444,1.497254968,-1.177972078,-2.060000181,0.199999988,0.554590106,0.092623651,0.020115864,0.000000000,0.000000000,0.000000000,0.000000000,4.998000145,17.000000000,2.000000000
1501401248.028170824,-0.004718831,-1.920655727,0.210410565,-0.000054534,-0.000002039,-0.000007580,0.000142451,0.001299124,1.497355580,-1.177972078,-2.060000181,0.199999988,0.554590106,0.092623651,0.020115864,0.000000000,0.000000000,0.000000000,0.000000000,4.614999771,0.000000000,1.000000000
1501401248.060303926,-0.004723074,-1.920669436,0.210412636,0.000109371,-0.000004536,0.000149711,0.000096602,0.001512436,1.497385859,-1.177972078,-2.060000181,0.199999988,0.554590106,0.092623651,0.020115864,0.000000000,0.000000000,0.000000000,0.000000000,5.086999893,0.000000000,2.000000000
1501401248.076056957,-0.004723074,-1.920669436,0.210412636,0.000109371,-0.000004536,0.000149711,0.000096602,0.001512436,1.497385859,-1.094273448,-1.990459800,0.199999988,0.598070920,0.118005969,-0.002893390,0.000000000,0.000000000,0.000000000,0.000000000,5.127999783,1.000000000,2.000000000
1501401248.092087984,-0.004744460,-1.920637727,0.210375190,-0.000083006,-0.000001834,0.000026648,0.000146170,0.001482306,1.497371674,-1.094273448,-1.990459800,0.199999988,0.598070920,0.118005969,-0.002893390,0.000000000,0.000000000,0.000000000,26.071228027,4.493999958,16.000000000,1.000000000
1501401248.111286163,-0.004709034,-1.920643568,0.210374624,-0.000113688,0.000014172,-0.000033799,-0.000061540,0.001346078,1.497591734,-1.094273448,-1.990459800,0.199999988,0.598070920,0.118005969,-0.002893390,0.000000000,0.000000000,0.000000000,38.666584015,4.584000111,17.000000000,1.000000000
1501401248.124675035,-0.004709034,-1.920643568,0.210374624,-0.000113688,0.000014172,-0.000033799,-0.000061540,0.001346078,1.497591734,-1.262976050,-2.040261507,0.129999995,0.367055058,0.068809360,-0.261199415,0.000000000,0.000000000,0.000000000,38.666584015,5.078000069,16.000000000,2.000000000
1501401248.144198418,-0.004675351,-1.920642257,0.210410163,-0.000099792,0.000013696,-0.000069755,0.000174068,0.001384227,1.497318387,-1.262976050,-2.040261507,0.129999995,0.367055058,0.068809360,-0.261199415,0.000000000,0.000000000,0.000000000,38.668228149,4.998000145,17.000000000,2.000000000
1501401248.172407389,-0.004675351,-1.920642257,0.210410163,-0.000099792,0.000013696,-0.000069755,0.000174068,0.001384227,1.497318387,-1.215660334,-1.985038042,0.269999981,0.412276208,0.112394027,-0.141172126,0.000000000,0.000000000,0.000000000,38.574497223,4.623000145,0.000000000,1.000000000
1501401248.188076973,-0.004755763,-1.920640111,0.210349247,-0.000168321,0.000038098,-0.000173508,0.000054630,0.001274106,1.497354031,-1.215660334,-1.985038042,0.269999981,0.412276208,0.112394027,-0.141172126,0.000000000,0.000000000,0.000000000,38.574497223,4.579999924,1.000000000,1.000000000
1501401248.204477072,-0.004755763,-1.920640111,0.210349247,-0.000168321,0.000038098,-0.000173508,0.000054630,0.001274106,1.497354031,-1.215660334,-1.985038042,0.269999981,0.412276208,0.112394027,-0.141172126,0.000000000,0.000000000,0.000000000,38.687522888,5.090000153,0.000000000,2.000000000
1501401248.220229626,-0.004770406,-1.920694590,0.210387126,-0.000254030,0.000009013,-0.000164880,0.000227288,0.001326100,1.497244835,-1.286176205,-1.986075640,0.189999998,0.294151753,0.087894119,-0.232000113,0.000000000,0.000000000,0.000000000,38.687522888,5.126999855,1.000000000,2.000000000
1501401248.236498594,-0.004726874,-1.920689940,0.210407585,-0.000253267,-0.000029526,-0.000140186,0.000181960,0.001245125,1.497466803,-1.286176205,-1.986075640,0.189999998,0.294151753,0.087894119,-0.232000113,0.000000000,0.000000000,0.000000000,38.791439056,4.499000072,16.000000000,1.000000000
1501401248.252298355,-0.004726874,-1.920689940,0.210407585,-0.000253267,-0.000029526,-0.000140186,0.000181960,0.001245125,1.497466803,-1.286176205,-1.986075640,0.189999998,0.294151753,0.087894119,-0.232000113,0.000000000,0.000000000,0.000000000,38.791439056,4.580999851,17.000000000,1.000000000
1501401248.267992973,-0.004726874,-1.920689940,0.210407585,-0.000253267,-0.000029526,-0.000140186,0.000181960,0.001245125,1.497466803,-1.359292865,-1.969013691,0.170000002,0.164271370,0.068737350,-0.212865055,0.000000000,0.000000000,0.000000000,38.684772491,5.084000111,16.000000000,2.000000000
1501401248.284090042,-0.004726874,-1.920689940,0.210407585,-0.000253267,-0.000029526,-0.000140186,0.000181960,0.001245125,1.497466803,-1.359292865,-1.969013691,0.170000002,0.164271370,0.068737350,-0.212865055,0.000000000,0.000000000,0.000000000,38.684772491,5.000000000,17.000000000,2.000000000
1501401248.316294670,-0.004726874,-1.920689940,0.210407585,-0.000253267,-0.000029526,-0.000140186,0.000181960,0.001245125,1.497466803,-1.359292865,-1.969013691,0.170000002,0.164271370,0.068737350,-0.212865055,0.000000000,0.000000000,0.000000000,38.862777710,4.618999958,0.000000000,1.000000000
