t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRspdrId, uwbRqstrId
1501656902.812940836,0.540816188,0.574971318,0.191225022,-0.000058604,0.000004470,-0.000004628,0.003696091,-0.005844931,1.546185970,-0.144366577,-1.842163801,0.179999992,0.020684754,0.040640298,-0.061702479,0.000000000,0.000000000,0.000000000,0.000000000,3.238600016,1.000000000,1.000000000,2.000000000
1501656902.813002825,0.540816188,0.574971318,0.191225022,-0.000058604,0.000004470,-0.000004628,0.003696091,-0.005844931,1.546185970,-0.144366577,-1.842163801,0.179999992,0.020684754,0.040640298,-0.061702479,0.000000000,0.000000000,0.000000000,0.000000000,3.979000092,1.000000000,0.000000000,3.000000000
1501656902.854077816,0.540837288,0.575022221,0.191230640,-0.000057274,0.000005782,-0.000054285,0.003892279,-0.005954801,1.546106935,-0.151310027,-1.756741405,0.099999994,-0.022390589,0.076114722,-0.236704856,0.000000000,0.000000000,0.000000000,30.987253189,3.799999952,0.000000000,0.000000000,2.000000000
1501656902.854121685,0.540837288,0.575022221,0.191230640,-0.000057274,0.000005782,-0.000054285,0.003892279,-0.005954801,1.546106935,-0.151310027,-1.756741405,0.099999994,-0.022390589,0.076114722,-0.236704856,0.000000000,0.000000000,0.000000000,30.987253189,3.586299896,0.000000000,1.000000000,3.000000000
1501656902.879267216,0.540874243,0.574997544,0.191269293,-0.000013291,-0.000035933,-0.000027440,0.003906428,-0.005959823,1.546077490,-0.089758687,-1.717480540,0.140000001,0.062142186,0.074265718,-0.056194495,0.000000000,0.000000000,0.000000000,31.516084671,3.533999920,0.000000000,1.000000000,2.000000000
1501656902.879297972,0.540874243,0.574997544,0.191269293,-0.000013291,-0.000035933,-0.000027440,0.003906428,-0.005959823,1.546077490,-0.089758687,-1.717480540,0.140000001,0.062142186,0.074265718,-0.056194495,0.000000000,0.000000000,0.000000000,31.516084671,3.637300014,0.000000000,0.000000000,3.000000000
1501656902.903895140,0.540847361,0.575039625,0.191229329,-0.000024166,0.000007384,-0.000052350,0.003743622,-0.005814862,1.546154499,-0.088016346,-1.715405583,0.119999997,0.062336862,0.073584914,-0.059017073,0.000000000,0.000000000,0.000000000,47.222156525,3.281599998,1.000000000,0.000000000,2.000000000
1501656902.903943300,0.540847361,0.575039625,0.191229329,-0.000024166,0.000007384,-0.000052350,0.003743622,-0.005814862,1.546154499,-0.088016346,-1.715405583,0.119999997,0.062336862,0.073584914,-0.059017073,0.000000000,0.000000000,0.000000000,47.222156525,3.937000036,1.000000000,1.000000000,3.000000000
1501656902.928455114,0.540847361,0.575039625,0.191229329,-0.000024166,0.000007384,-0.000052350,0.003743622,-0.005814862,1.546154499,0.179905280,-1.138751864,0.140000001,-0.016505361,-0.004945681,-0.001280532,0.000000000,0.000000000,0.000000000,47.222156525,3.205600023,1.000000000,1.000000000,2.000000000
1501656902.934315205,0.540847361,0.575039625,0.191229329,-0.000024166,0.000007384,-0.000052350,0.003743622,-0.005814862,1.546154499,0.179905280,-1.138751864,0.140000001,-0.016505361,-0.004945681,-0.001280532,0.000000000,0.000000000,0.000000000,47.323261261,3.982000113,1.000000000,0.000000000,3.000000000
