t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, px4Ro, px4Pi, px4Ya, px4Lidar, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRspdrId, uwbRqstrId
1502516517.936678886,-1.910598993,0.610662341,1.073219538,-0.000053599,-0.000011670,0.000005289,0.006531778,0.012612231,1.522119761,0.000000000,0.000000000,1.020000000,0.000000000,0.000000000,-0.020000000,0.002617994,0.035081118,0.008203047,1.040000000,0.000000000,0.000000000,0.000000000,95.025001526,3.714999914,0.000000000,0.000000000,2.000000000
1502516517.961750984,-1.910598993,0.610662341,1.073219538,-0.000053599,-0.000011670,0.000005289,0.006531778,0.012612231,1.522119761,0.000000000,0.000000000,1.030000000,0.000000000,0.000000000,-0.020000000,0.002617994,0.035081118,0.008203047,1.020000000,0.000000000,0.000000000,0.000000000,94.894248962,3.131000042,0.000000000,1.000000000,2.000000000
1502516517.987711668,-1.910584211,0.610665977,1.073206782,-0.000034447,-0.000002170,0.000000172,0.006567988,0.012595416,1.522136331,-2.000000000,0.000000000,0.460000000,0.000000000,0.000000000,0.000000000,0.002792527,0.035081118,0.008203047,1.030000000,0.000000000,0.000000000,0.000000000,94.894248962,3.390000105,1.000000000,0.000000000,2.000000000
1502516518.011896849,-1.910586119,0.610663474,1.073202968,-0.000018784,0.000002110,-0.000003164,0.006567791,0.012575766,1.522119880,0.430000000,0.150000000,0.470000000,0.000000000,0.000000000,0.000000000,0.002792527,0.034906585,0.008203047,1.040000000,0.000000000,0.000000000,0.000000000,94.914581299,2.928999901,1.000000000,1.000000000,2.000000000
1502516518.052550554,-1.910593152,0.610666037,1.073225141,-0.000026979,0.000005613,0.000028574,0.006507415,0.012595748,1.522092462,1.360000000,-1.980000000,1.210000000,0.000000000,0.000000000,0.000000000,0.002443461,0.034906585,0.016580628,1.040000000,0.000000000,0.000000000,0.000000000,94.914581299,3.714999914,0.000000000,0.000000000,2.000000000
1502516518.081460476,-1.910589814,0.610651612,1.073212266,-0.000033405,-0.000029150,0.000059827,0.006575085,0.012526569,1.522068381,1.360000000,-1.980000000,1.210000000,0.000000000,0.000000000,0.000000000,0.002443461,0.034906585,0.016580628,1.040000000,0.000000000,0.000000000,0.000000000,94.884674072,3.131999969,0.000000000,1.000000000,2.000000000
1502516518.103286266,-1.910589814,0.610651612,1.073212266,-0.000033405,-0.000029150,0.000059827,0.006575085,0.012526569,1.522068381,1.010000000,-2.240000000,1.460000000,-0.020000000,0.000000000,0.040000000,0.002443461,0.034906585,0.019198622,1.040000000,0.000000000,0.000000000,0.000000000,94.884674072,3.390000105,1.000000000,0.000000000,2.000000000
1502516518.129341364,-1.910587311,0.610657096,1.073209047,-0.000020210,-0.000024996,0.000035114,0.006569121,0.012555047,1.522117615,1.000000000,-2.260000000,1.460000000,-0.020000000,0.000000000,0.020000000,0.002443461,0.034906585,0.018675023,1.040000000,0.000000000,0.000000000,0.000000000,94.707664490,2.930999994,1.000000000,1.000000000,2.000000000
1502516518.168942213,-1.910587311,0.610657096,1.073209047,-0.000020210,-0.000024996,0.000035114,0.006569121,0.012555047,1.522117615,1.030000000,-2.020000000,1.430000000,-0.020000000,0.010000000,0.050000000,0.002268928,0.034906585,0.021293017,1.040000000,0.000000000,0.000000000,0.000000000,94.767616272,3.710000038,0.000000000,0.000000000,2.000000000
1502516518.194343805,-1.910587311,0.610657096,1.073209047,-0.000020210,-0.000024996,0.000035114,0.006569121,0.012555047,1.522117615,1.050000000,-2.020000000,1.310000000,-0.020000000,0.010000000,-0.150000000,0.002268928,0.034906585,0.021293017,1.030000000,0.000000000,0.000000000,0.000000000,94.767616272,3.131000042,0.000000000,1.000000000,2.000000000
1502516518.219565392,-1.910599113,0.610661507,1.073208690,-0.000025439,-0.000018002,0.000018888,0.006527939,0.012609134,1.522109747,1.050000000,-2.020000000,1.310000000,-0.020000000,0.010000000,-0.150000000,0.002268928,0.034906585,0.021293017,1.030000000,0.000000000,0.000000000,0.000000000,94.767616272,3.391000032,1.000000000,0.000000000,2.000000000
1502516518.243710518,-1.910581231,0.610664070,1.073206544,-0.000001181,0.000001405,0.000000966,0.006556462,0.012561722,1.522095680,0.870000000,-2.020000000,1.280000000,-0.040000000,0.000000000,-0.390000000,0.002268928,0.034906585,0.024085544,1.040000000,0.000000000,0.000000000,0.000000000,94.845458984,2.926000118,1.000000000,1.000000000,2.000000000
1502516518.284826040,-1.910580993,0.610674083,1.073213935,0.000018357,0.000032204,-0.000011470,0.006510293,0.012646176,1.522098422,0.860000000,-1.900000000,1.140000000,-0.040000000,0.010000000,-0.680000000,0.002268928,0.034906585,0.025656340,1.040000000,0.000000000,0.000000000,0.000000000,94.885581970,3.716000080,0.000000000,0.000000000,2.000000000
1502516518.309733868,-1.910580993,0.610674083,1.073213935,0.000018357,0.000032204,-0.000011470,0.006510293,0.012646176,1.522098422,0.860000000,-1.900000000,1.110000000,-0.040000000,0.010000000,-0.710000000,0.002268928,0.034906585,0.025656340,1.030000000,0.000000000,0.000000000,0.000000000,94.885581970,3.131000042,0.000000000,1.000000000,2.000000000
1502516518.337028027,-1.910591841,0.610668719,1.073194623,0.000020828,0.000038065,-0.000029220,0.006557050,0.012620463,1.522117734,0.700000000,-1.850000000,1.020000000,-0.070000000,0.000000000,-1.050000000,0.002268928,0.034906585,0.028448867,1.040000000,0.000000000,0.000000000,0.000000000,94.846092224,3.388000011,1.000000000,0.000000000,2.000000000
1502516518.361334085,-1.910591841,0.610668719,1.073194623,0.000020828,0.000038065,-0.000029220,0.006557050,0.012620463,1.522117734,0.720000000,-1.820000000,0.860000000,-0.060000000,0.010000000,-1.380000000,0.002268928,0.034906585,0.027750735,1.040000000,0.000000000,0.000000000,0.000000000,94.846092224,2.926000118,1.000000000,1.000000000,2.000000000
1502516518.401209116,-1.910579920,0.610659003,1.073211908,0.000057564,0.000032520,-0.000035503,0.006600384,0.012568357,1.522100091,0.700000000,-1.820000000,0.810000000,-0.070000000,0.000000000,-1.440000000,0.002268928,0.034906585,0.027052603,1.040000000,0.000000000,0.000000000,0.000000000,94.829170227,3.713999987,0.000000000,0.000000000,2.000000000
1502516518.429931879,-1.910578251,0.610667050,1.073205113,0.000058774,0.000030315,-0.000032603,0.006593372,0.012563126,1.522130370,0.590000000,-1.650000000,0.680000000,-0.070000000,0.030000000,-1.630000000,0.001745329,0.035081118,0.032114058,1.040000000,0.000000000,0.000000000,0.000000000,94.894226074,3.131999969,0.000000000,1.000000000,2.000000000
1502516518.452043772,-1.910583854,0.610662997,1.073263407,0.000052701,0.000023603,0.000033117,0.006803327,0.012767265,1.522099376,0.590000000,-1.650000000,0.680000000,-0.070000000,0.030000000,-1.630000000,0.001745329,0.035081118,0.032114058,1.040000000,0.000000000,0.000000000,0.000000000,94.894226074,3.391000032,1.000000000,0.000000000,2.000000000
1502516518.484623671,-1.910583854,0.610662997,1.073263407,0.000052701,0.000023603,0.000033117,0.006803327,0.012767265,1.522099376,0.610000000,-1.630000000,0.590000000,-0.050000000,0.040000000,-1.610000000,0.001745329,0.035255651,0.030717795,1.040000000,0.000000000,0.000000000,0.000000000,94.917945862,2.927999973,1.000000000,1.000000000,2.000000000
1502516518.516711473,-1.910563588,0.610669315,1.073269367,0.000084633,0.000013541,0.000131192,0.006711152,0.012770883,1.522079110,0.610000000,-1.630000000,0.590000000,-0.050000000,0.040000000,-1.610000000,0.001745329,0.035255651,0.030717795,1.040000000,0.000000000,0.000000000,0.000000000,94.879325867,3.719000101,0.000000000,0.000000000,2.000000000
1502516518.542074442,-1.910541177,0.610669971,1.073264599,0.000117459,0.000014869,0.000195736,0.006829596,0.012786401,1.522076845,0.620000000,-1.560000000,0.630000000,-0.030000000,0.070000000,-1.330000000,0.001047198,0.035604717,0.033510322,1.040000000,0.000000000,0.000000000,0.000000000,94.879325867,3.128000021,0.000000000,1.000000000,2.000000000
1502516518.567153931,-1.910563350,0.610665858,1.073239446,0.000114946,0.000012635,0.000182311,0.006704545,0.012752222,1.522059202,0.510000000,-1.480000000,0.600000000,-0.070000000,0.070000000,-1.390000000,0.001221730,0.035081118,0.035430184,1.040000000,0.000000000,0.000000000,0.000000000,94.984764099,3.392999887,1.000000000,0.000000000,2.000000000
1502516518.591873884,-1.910563350,0.610665858,1.073239446,0.000114946,0.000012635,0.000182311,0.006704545,0.012752222,1.522059202,0.500000000,-1.480000000,0.560000000,-0.070000000,0.070000000,-1.390000000,0.001221730,0.035081118,0.035430184,1.040000000,0.000000000,0.000000000,0.000000000,94.984764099,2.927000046,1.000000000,1.000000000,2.000000000
1502516518.637013674,-1.910586834,0.610656083,1.073210955,0.000026138,-0.000012220,0.000028350,0.006545891,0.012562623,1.522092462,0.530000000,-1.410000000,0.700000000,-0.010000000,0.130000000,-0.850000000,0.000349066,0.036128316,0.036651914,1.040000000,0.000000000,0.000000000,0.000000000,94.883529663,3.717000008,0.000000000,0.000000000,2.000000000
1502516518.657944918,-1.910586834,0.610656083,1.073210955,0.000026138,-0.000012220,0.000028350,0.006545891,0.012562623,1.522092462,0.430000000,-1.330000000,0.640000000,-0.060000000,0.130000000,-0.960000000,0.000174533,0.035430184,0.038571776,1.040000000,0.000000000,0.000000000,0.000000000,94.883529663,3.130000114,0.000000000,1.000000000,2.000000000
1502516518.687716007,-1.910585284,0.610664785,1.073189855,0.000010917,-0.000009475,-0.000047749,0.006583252,0.012592927,1.522130728,0.420000000,-1.320000000,0.620000000,-0.060000000,0.130000000,-0.970000000,0.000174533,0.035430184,0.038571776,1.020000000,0.000000000,0.000000000,0.000000000,94.767135620,3.387000084,1.000000000,0.000000000,2.000000000
1502516518.708097458,-1.910592437,0.610648990,1.073212862,-0.000011546,-0.000025530,-0.000054592,0.006605700,0.012578189,1.522132277,0.440000000,-1.320000000,0.720000000,-0.040000000,0.140000000,-0.710000000,0.000174533,0.035953783,0.037524579,1.040000000,0.000000000,0.000000000,0.000000000,94.767135620,2.927000046,1.000000000,1.000000000,2.000000000
1502516518.748602867,-1.910580158,0.610660017,1.073212504,-0.000016520,-0.000026299,-0.000059679,0.006567049,0.012601863,1.522084832,0.440000000,-1.250000000,0.800000000,0.000000000,0.180000000,-0.480000000,-0.000349066,0.036651914,0.039618974,1.030000000,0.000000000,0.000000000,0.000000000,94.811149597,3.716000080,0.000000000,0.000000000,2.000000000
1502516518.774079084,-1.910563707,0.610673189,1.073205352,-0.000002578,-0.000012317,-0.000070430,0.006554646,0.012557412,1.522071600,0.440000000,-1.250000000,0.790000000,0.000000000,0.180000000,-0.480000000,-0.000349066,0.036651914,0.039618974,1.040000000,0.000000000,0.000000000,0.000000000,94.957412720,3.131999969,0.000000000,1.000000000,2.000000000
1502516518.799514294,-1.910557508,0.610678732,1.073200464,0.000015512,0.000005302,-0.000083146,0.006589571,0.012545011,1.522126317,0.310000000,-1.170000000,0.910000000,-0.080000000,0.170000000,-0.250000000,-0.000349066,0.035430184,0.041364303,1.030000000,0.000000000,0.000000000,0.000000000,94.957412720,3.390000105,1.000000000,0.000000000,2.000000000
1502516518.824042797,-1.910580039,0.610666335,1.073202848,0.000000041,0.000002542,-0.000095531,0.006577726,0.012568506,1.522096395,0.310000000,-1.170000000,0.910000000,-0.080000000,0.170000000,-0.250000000,-0.000349066,0.035430184,0.041364303,1.030000000,0.000000000,0.000000000,0.000000000,94.899696350,2.924999952,1.000000000,1.000000000,2.000000000
1502516518.864653587,-1.910580516,0.610665381,1.073198199,-0.000003182,-0.000002054,-0.000101816,0.006573289,0.012592369,1.522127509,0.310000000,-1.150000000,0.900000000,-0.070000000,0.190000000,-0.240000000,-0.000349066,0.035604717,0.039793507,1.040000000,0.000000000,0.000000000,0.000000000,94.932014465,3.678999901,0.000000000,0.000000000,2.000000000
1502516518.890111446,-1.910575628,0.610665083,1.073210955,-0.000005119,-0.000001072,-0.000088866,0.006547635,0.012555333,1.522086024,0.340000000,-1.080000000,0.960000000,-0.010000000,0.240000000,-0.120000000,-0.001396263,0.037000980,0.042236968,1.030000000,0.000000000,0.000000000,0.000000000,94.932014465,3.137000084,0.000000000,1.000000000,2.000000000
1502516518.915293694,-1.910589099,0.610658646,1.073201537,-0.000021161,-0.000007182,-0.000086797,0.006587178,0.012558660,1.522116780,0.250000000,-1.000000000,0.940000000,-0.060000000,0.250000000,-0.150000000,-0.001570796,0.035953783,0.043807764,1.040000000,0.000000000,0.000000000,0.000000000,94.886619568,3.388999939,1.000000000,0.000000000,2.000000000
1502516518.915510893,-1.910589099,0.610658646,1.073201537,-0.000021161,-0.000007182,-0.000086797,0.006587178,0.012558660,1.522116780,0.250000000,-1.000000000,0.940000000,-0.060000000,0.250000000,-0.150000000,-0.001570796,0.035953783,0.043807764,1.040000000,0.000000000,0.000000000,0.000000000,94.886619568,3.615999937,1.000000000,1.000000000,3.000000000
1502516518.940063477,-1.910589099,0.610658646,1.073201537,-0.000021161,-0.000007182,-0.000086797,0.006587178,0.012558660,1.522116780,0.270000000,-0.990000000,0.940000000,-0.040000000,0.260000000,-0.140000000,-0.001745329,0.036477381,0.043109633,1.030000000,0.000000000,0.000000000,0.000000000,94.886619568,4.140999794,1.000000000,0.000000000,3.000000000
1502516518.940916777,-1.910589099,0.610658646,1.073201537,-0.000021161,-0.000007182,-0.000086797,0.006587178,0.012558660,1.522116780,0.270000000,-0.990000000,0.940000000,-0.040000000,0.260000000,-0.140000000,-0.001745329,0.036477381,0.043109633,1.030000000,0.000000000,0.000000000,0.000000000,94.886619568,2.924999952,1.000000000,1.000000000,2.000000000
1502516518.983218431,-1.910576224,0.610667706,1.073207736,-0.000012598,0.000014313,-0.000074921,0.006627190,0.012520421,1.522137880,0.270000000,-0.920000000,0.990000000,0.000000000,0.310000000,-0.050000000,-0.002443461,0.037350046,0.044854962,1.040000000,0.000000000,0.000000000,0.000000000,94.932548523,3.713999987,0.000000000,0.000000000,2.000000000
1502516518.983268261,-1.910576224,0.610667706,1.073207736,-0.000012598,0.000014313,-0.000074921,0.006627190,0.012520421,1.522137880,0.270000000,-0.920000000,0.990000000,0.000000000,0.310000000,-0.050000000,-0.002443461,0.037350046,0.044854962,1.040000000,0.000000000,0.000000000,0.000000000,94.932548523,3.446000099,0.000000000,1.000000000,3.000000000
1502516519.005672932,-1.910589576,0.610667765,1.073199153,-0.000033360,0.000006056,-0.000048976,0.006541049,0.012543026,1.522094011,0.190000000,-0.830000000,0.980000000,-0.060000000,0.330000000,-0.080000000,-0.002792527,0.035953783,0.046425758,1.040000000,0.000000000,0.000000000,0.000000000,94.932548523,3.131000042,0.000000000,1.000000000,2.000000000
