t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRqstrId
1501406248.249144077,2.004396439,0.699194431,1.171131134,0.000069297,0.000099896,0.000175943,-0.006649132,0.004103498,1.562929869,-0.002663591,-0.006578757,1.100000024,-0.001070763,0.001569140,0.018525487,0.000000000,0.000000000,0.000000000,95.724632263,2.522000074,1.000000000,2.000000000
1501406248.296589375,2.004368782,0.699132860,1.171110392,0.000060874,0.000004809,0.000111810,-0.006681278,0.003996924,1.563102245,-2.000000000,0.000000183,1.100000024,-0.000024997,0.000044491,0.000461980,0.000000000,0.000000000,0.000000000,95.894409180,3.214999914,16.000000000,2.000000000
1501406248.312520027,2.004397869,0.699192226,1.171121240,0.000081487,0.000043810,0.000119902,-0.006631183,0.004065689,1.562947631,-2.000000000,0.000000183,1.100000024,-0.000024997,0.000044491,0.000461980,0.000000000,0.000000000,0.000000000,95.933555603,3.121000051,17.000000000,2.000000000
1501406248.344362974,2.004389286,0.699124575,1.171078205,0.000066153,-0.000033279,0.000063260,-0.006846580,0.004183244,1.563130975,-0.374721706,0.260108382,1.100000024,0.000736722,-0.000434320,0.154629767,0.000000000,0.000000000,0.000000000,95.933555603,2.039999962,0.000000000,1.000000000
1501406248.360508204,2.004374743,0.699225366,1.171062112,0.000057409,0.000047984,0.000011249,-0.006800801,0.004296667,1.563054800,-0.374721706,0.260108382,1.100000024,0.000736722,-0.000434320,0.154629767,0.000000000,0.000000000,0.000000000,96.015922546,2.410000086,1.000000000,1.000000000
1501406248.376263618,2.004374743,0.699225366,1.171062112,0.000057409,0.000047984,0.000011249,-0.006800801,0.004296667,1.563054800,-0.374721706,0.260108382,1.100000024,0.000736722,-0.000434320,0.154629767,0.000000000,0.000000000,0.000000000,96.015922546,2.842000008,0.000000000,2.000000000
1501406248.392559528,2.004374743,0.699225366,1.171062112,0.000057409,0.000047984,0.000011249,-0.006800801,0.004296667,1.563054800,0.791910827,-2.922283173,1.100000024,0.001673918,0.005963928,0.156360820,0.000000000,0.000000000,0.000000000,96.167251587,2.530999899,1.000000000,2.000000000
1501406248.408449650,2.004361391,0.699126244,1.171066999,0.000045077,0.000036315,0.000007391,-0.006826065,0.004149349,1.563152790,0.791910827,-2.922283173,1.100000024,0.001673918,0.005963928,0.156360820,0.000000000,0.000000000,0.000000000,96.167251587,2.371000051,16.000000000,1.000000000
1501406248.424358845,2.004361391,0.699126244,1.171066999,0.000045077,0.000036315,0.000007391,-0.006826065,0.004149349,1.563152790,0.791910827,-2.922283173,1.100000024,0.001673918,0.005963928,0.156360820,0.000000000,0.000000000,0.000000000,96.286788940,2.819999933,17.000000000,1.000000000
1501406248.440280199,2.004377127,0.699095309,1.171117425,0.000053691,-0.000089900,0.000041552,-0.006730626,0.004031473,1.563120842,0.906656682,2.060639143,1.100000024,0.054143813,0.012894772,0.165343732,0.000000000,0.000000000,0.000000000,96.286788940,3.168999910,16.000000000,2.000000000
1501406248.457468748,2.004396677,0.699101806,1.171105504,0.000075996,-0.000062275,0.000064653,-0.006781889,0.004081658,1.563095093,0.906656682,2.060639143,1.100000024,0.054143813,0.012894772,0.165343732,0.000000000,0.000000000,0.000000000,95.923629761,3.112999916,17.000000000,2.000000000
1501406248.488488197,2.004396677,0.699101806,1.171105504,0.000075996,-0.000062275,0.000064653,-0.006781889,0.004081658,1.563095093,0.906656682,2.060639143,1.100000024,0.054143813,0.012894772,0.165343732,0.000000000,0.000000000,0.000000000,95.759666443,2.072000027,0.000000000,1.000000000
1501406248.504458666,2.004396677,0.699101806,1.171105504,0.000075996,-0.000062275,0.000064653,-0.006781889,0.004081658,1.563095093,0.604067147,2.256259441,1.100000024,0.010892789,0.034031793,-0.418332607,0.000000000,0.000000000,0.000000000,95.759666443,2.408999920,1.000000000,1.000000000
1501406248.520241737,2.004392147,0.699122965,1.171078205,0.000074928,-0.000112842,0.000036555,-0.006804082,0.004147755,1.563102603,0.604067147,2.256259441,1.100000024,0.010892789,0.034031793,-0.418332607,0.000000000,0.000000000,0.000000000,95.746986389,2.845999956,0.000000000,2.000000000
1501406248.536988735,2.004388094,0.699111700,1.171088099,0.000067845,-0.000047977,0.000009869,-0.006809270,0.004057994,1.563109040,0.604067147,2.256259441,1.100000024,0.010892789,0.034031793,-0.418332607,0.000000000,0.000000000,0.000000000,95.746986389,2.486000061,1.000000000,2.000000000
1501406248.552597046,2.004388094,0.699111700,1.171088099,0.000067845,-0.000047977,0.000009869,-0.006809270,0.004057994,1.563109040,0.604067147,2.256259441,1.100000024,0.010892789,0.034031793,-0.418332607,0.000000000,0.000000000,0.000000000,96.056228638,2.401999950,16.000000000,1.000000000
1501406248.568254948,2.004405737,0.699208558,1.171133280,0.000078104,0.000022653,0.000035370,-0.006596820,0.004132451,1.562933445,0.758135617,1.941217661,1.100000024,0.040550120,-0.011256055,-1.038363814,0.000000000,0.000000000,0.000000000,96.056228638,2.812999964,17.000000000,1.000000000
1501406248.586632252,2.004382610,0.699115336,1.171076775,0.000060242,-0.000020325,-0.000005321,-0.006816912,0.004153691,1.563159108,0.758135617,1.941217661,1.100000024,0.040550120,-0.011256055,-1.038363814,0.000000000,0.000000000,0.000000000,95.651199341,3.519000053,16.000000000,2.000000000
1501406248.600369930,2.004382610,0.699115336,1.171076775,0.000060242,-0.000020325,-0.000005321,-0.006816912,0.004153691,1.563159108,0.758135617,1.941217661,1.100000024,0.040550120,-0.011256055,-1.038363814,0.000000000,0.000000000,0.000000000,95.651199341,3.127000093,17.000000000,2.000000000
1501406248.633352041,2.004395723,0.699204147,1.171127200,0.000051389,0.000006718,-0.000035040,-0.006597367,0.004066123,1.562951446,0.770079315,1.839570403,1.090000033,0.045656126,-0.032494273,-1.661825657,0.000000000,0.000000000,0.000000000,95.591484070,2.033999920,0.000000000,1.000000000
1501406248.664381266,2.004393816,0.699117661,1.171100259,0.000046157,-0.000028796,-0.000034653,-0.006770864,0.004107681,1.563186526,0.650454700,1.824535012,1.100000024,-0.003243322,-0.015954254,-2.458836794,0.000000000,0.000000000,0.000000000,95.903991699,2.835999966,0.000000000,2.000000000
1501406248.681373119,2.004393816,0.699117661,1.171100259,0.000046157,-0.000028796,-0.000034653,-0.006770864,0.004107681,1.563186526,0.650454700,1.824535012,1.100000024,-0.003243322,-0.015954254,-2.458836794,0.000000000,0.000000000,0.000000000,95.903991699,2.525000095,1.000000000,2.000000000
1501406248.696561098,2.004391909,0.699139714,1.171071649,0.000028471,0.000053122,-0.000068883,-0.006830920,0.004172019,1.563161731,0.650454700,1.824535012,1.100000024,-0.003243322,-0.015954254,-2.458836794,0.000000000,0.000000000,0.000000000,95.683998108,2.397000074,16.000000000,1.000000000
1501406248.712497234,2.004401922,0.699191093,1.171154022,0.000036062,0.000050943,0.000019145,-0.006550933,0.004085900,1.562926531,0.708437681,1.645756841,1.090000033,0.068902068,-0.127803192,-1.391272545,0.000000000,0.000000000,0.000000000,95.683998108,2.825999975,17.000000000,1.000000000
1501406248.728428602,2.004401922,0.699191093,1.171154022,0.000036062,0.000050943,0.000019145,-0.006550933,0.004085900,1.562926531,0.708437681,1.645756841,1.090000033,0.068902068,-0.127803192,-1.391272545,0.000000000,0.000000000,0.000000000,95.766677856,3.540999889,16.000000000,2.000000000
1501406248.744436502,2.004401922,0.699191093,1.171154022,0.000036062,0.000050943,0.000019145,-0.006550933,0.004085900,1.562926531,0.708437681,1.645756841,1.090000033,0.068902068,-0.127803192,-1.391272545,0.000000000,0.000000000,0.000000000,95.766677856,2.716000080,17.000000000,2.000000000
1501406248.776490927,2.004379988,0.699135602,1.171079040,0.000024841,-0.000009653,-0.000004131,-0.006789206,0.004157485,1.563101292,0.708437681,1.645756841,1.090000033,0.068902068,-0.127803192,-1.391272545,0.000000000,0.000000000,0.000000000,95.803443909,2.036000013,0.000000000,1.000000000
1501406248.792617559,2.004373789,0.699138105,1.171101093,-0.000002615,-0.000033032,-0.000007513,-0.006773829,0.004049245,1.563078761,0.572491229,1.598895311,1.090000033,0.002990460,-0.120601535,-1.398112893,0.000000000,0.000000000,0.000000000,95.832107544,2.411000013,1.000000000,1.000000000
1501406248.808178663,2.004406691,0.699111700,1.171071291,0.000010234,-0.000069890,-0.000040659,-0.006874905,0.004144896,1.563137770,0.572491229,1.598895311,1.090000033,0.002990460,-0.120601535,-1.398112893,0.000000000,0.000000000,0.000000000,95.832107544,2.835000038,0.000000000,2.000000000
1501406248.824941397,2.004406691,0.699111700,1.171071291,0.000010234,-0.000069890,-0.000040659,-0.006874905,0.004144896,1.563137770,0.572491229,1.598895311,1.090000033,0.002990460,-0.120601535,-1.398112893,0.000000000,0.000000000,0.000000000,95.705673218,2.513000011,1.000000000,2.000000000
1501406248.840467215,2.004397392,0.699111223,1.171124458,0.000010572,-0.000099235,-0.000009792,-0.006706876,0.004049562,1.563100100,0.546480834,1.501887560,1.100000024,0.033399012,-0.203340262,-0.221839666,0.000000000,0.000000000,0.000000000,95.705673218,2.374000072,16.000000000,1.000000000
1501406248.856223583,2.004397392,0.699111223,1.171124458,0.000010572,-0.000099235,-0.000009792,-0.006706876,0.004049562,1.563100100,0.546480834,1.501887560,1.100000024,0.033399012,-0.203340262,-0.221839666,0.000000000,0.000000000,0.000000000,95.596992493,2.844000101,17.000000000,1.000000000
1501406248.872908831,2.004376411,0.699125528,1.171046376,-0.000012886,-0.000096357,-0.000037019,-0.006937962,0.004205447,1.563145161,0.546480834,1.501887560,1.100000024,0.033399012,-0.203340262,-0.221839666,0.000000000,0.000000000,0.000000000,95.596992493,3.515000105,16.000000000,2.000000000
1501406248.889004707,2.004400969,0.699123681,1.171106339,-0.000004709,-0.000102201,-0.000026055,-0.006709146,0.004025674,1.563050032,0.580501974,1.449432135,1.100000024,0.086255357,-0.262759179,0.311978847,0.000000000,0.000000000,0.000000000,95.935920715,3.155999899,17.000000000,2.000000000
1501406248.920967579,2.004409790,0.699141979,1.171067357,0.000031520,-0.000076136,-0.000054269,-0.006827340,0.004138519,1.563091516,0.580501974,1.449432135,1.100000024,0.086255357,-0.262759179,0.311978847,0.000000000,0.000000000,0.000000000,95.920616150,2.035000086,0.000000000,1.000000000
1501406248.936746597,2.004379749,0.699144959,1.171089768,0.000007618,-0.000057731,-0.000056161,-0.006791470,0.004078360,1.563129067,0.363619328,1.341121912,1.110000014,-0.069484383,-0.257589638,-0.047985040,0.000000000,0.000000000,0.000000000,95.920616150,2.401000023,1.000000000,1.000000000
1501406248.952568293,2.004379749,0.699144959,1.171089768,0.000007618,-0.000057731,-0.000056161,-0.006791470,0.004078360,1.563129067,0.363619328,1.341121912,1.110000014,-0.069484383,-0.257589638,-0.047985040,0.000000000,0.000000000,0.000000000,95.866485596,2.844000101,0.000000000,2.000000000
1501406248.968942881,2.004379749,0.699144959,1.171089768,0.000007618,-0.000057731,-0.000056161,-0.006791470,0.004078360,1.563129067,0.363619328,1.341121912,1.110000014,-0.069484383,-0.257589638,-0.047985040,0.000000000,0.000000000,0.000000000,95.866485596,2.513000011,1.000000000,2.000000000
1501406248.985195875,2.004379749,0.699144959,1.171089768,0.000007618,-0.000057731,-0.000056161,-0.006791470,0.004078360,1.563129067,0.385975868,1.247475624,1.100000024,0.004139889,-0.356905997,0.408828259,0.000000000,0.000000000,0.000000000,95.838996887,2.348000050,16.000000000,1.000000000
1501406249.000588894,2.004377365,0.699211895,1.171138763,-0.000011929,0.000085433,0.000031240,-0.006578941,0.004030051,1.562945127,0.385975868,1.247475624,1.100000024,0.004139889,-0.356905997,0.408828259,0.000000000,0.000000000,0.000000000,95.838996887,2.740000010,17.000000000,1.000000000
1501406249.018626690,2.004377365,0.699211895,1.171138763,-0.000011929,0.000085433,0.000031240,-0.006578941,0.004030051,1.562945127,0.385975868,1.247475624,1.100000024,0.004139889,-0.356905997,0.408828259,0.000000000,0.000000000,0.000000000,95.656158447,3.530999899,16.000000000,2.000000000
1501406249.032284975,2.004407644,0.699127018,1.171133995,0.000001808,0.000053771,0.000061810,-0.006684486,0.003974125,1.562983990,0.385975868,1.247475624,1.100000024,0.004139889,-0.356905997,0.408828259,0.000000000,0.000000000,0.000000000,95.656158447,2.783999920,17.000000000,2.000000000
1501406249.064618349,2.004365206,0.699118793,1.171064377,-0.000061528,-0.000000746,0.000012872,-0.006807299,0.004076974,1.563151002,0.329652876,1.149591446,1.100000024,-0.026957277,-0.410587400,0.438539803,0.000000000,0.000000000,0.000000000,95.731506348,2.065999985,0.000000000,1.000000000
1501406249.080440044,2.004365206,0.699118793,1.171064377,-0.000061528,-0.000000746,0.000012872,-0.006807299,0.004076974,1.563151002,0.329652876,1.149591446,1.100000024,-0.026957277,-0.410587400,0.438539803,0.000000000,0.000000000,0.000000000,95.812492371,2.417999983,1.000000000,1.000000000
1501406249.096256018,2.004365206,0.699118793,1.171064377,-0.000061528,-0.000000746,0.000012872,-0.006807299,0.004076974,1.563151002,0.329652876,1.149591446,1.100000024,-0.026957277,-0.410587400,0.438539803,0.000000000,0.000000000,0.000000000,95.812492371,2.844000101,0.000000000,2.000000000
1501406249.113824368,2.004373074,0.699257791,1.171055198,-0.000067140,0.000108365,-0.000061236,-0.006758192,0.004213213,1.562913060,0.213638619,1.000919104,1.090000033,-0.077717595,-0.503238618,0.608378351,0.000000000,0.000000000,0.000000000,95.674095154,2.513999939,1.000000000,2.000000000
1501406249.128363132,2.004373074,0.699257791,1.171055198,-0.000067140,0.000108365,-0.000061236,-0.006758192,0.004213213,1.562913060,0.213638619,1.000919104,1.090000033,-0.077717595,-0.503238618,0.608378351,0.000000000,0.000000000,0.000000000,95.674095154,2.440000057,16.000000000,1.000000000
1501406249.160575628,2.004373074,0.699257791,1.171055198,-0.000067140,0.000108365,-0.000061236,-0.006758192,0.004213213,1.562913060,0.269012123,0.938170791,1.090000033,0.012976065,-0.567149162,0.677483439,0.000000000,0.000000000,0.000000000,95.829269409,3.069000006,16.000000000,2.000000000
1501406249.176605701,2.004373074,0.699257791,1.171055198,-0.000067140,0.000108365,-0.000061236,-0.006758192,0.004213213,1.562913060,0.269012123,0.938170791,1.090000033,0.012976065,-0.567149162,0.677483439,0.000000000,0.000000000,0.000000000,95.877471924,3.114000082,17.000000000,2.000000000
1501406249.208800793,2.004391670,0.699149489,1.171114087,-0.000041470,-0.000004963,-0.000029727,-0.006680208,0.004079541,1.563079715,0.196224272,0.864054024,1.090000033,-0.057002798,-0.584085047,0.654480815,0.000000000,0.000000000,0.000000000,95.720436096,2.076999903,0.000000000,1.000000000
