t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, px4Ro, px4Pi, px4Ya, px4Lidar, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRspdrId, uwbRqstrId
1502421163.229792118,-1.493744731,1.600657940,0.212775737,0.000045766,0.000028914,0.000040565,0.014003636,-0.010518266,1.547458768,0.000000000,0.000000000,0.120000000,0.000000000,0.000000000,-0.010000000,-0.019547688,0.027576202,0.081506876,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,2.769999981,0.000000000,1.000000000,3.000000000
1502421163.229946136,-1.493744731,1.600657940,0.212775737,0.000045766,0.000028914,0.000040565,0.014003636,-0.010518266,1.547458768,0.000000000,0.000000000,0.120000000,0.000000000,0.000000000,-0.010000000,-0.019547688,0.027576202,0.081506876,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,3.095000029,0.000000000,0.000000000,2.000000000
1502421163.254466295,-1.493769169,1.600701213,0.212782443,0.000028891,0.000066421,0.000050350,0.014033398,-0.010365851,1.547495723,0.000000000,0.000000000,0.100000000,0.000000000,0.000000000,0.000000000,-0.019547688,0.027576202,0.081506876,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,2.503000021,0.000000000,1.000000000,2.000000000
1502421163.254493713,-1.493769169,1.600701213,0.212782443,0.000028891,0.000066421,0.000050350,0.014033398,-0.010365851,1.547495723,0.000000000,0.000000000,0.100000000,0.000000000,0.000000000,0.000000000,-0.019547688,0.027576202,0.081506876,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,3.160000086,0.000000000,0.000000000,3.000000000
1502421163.279653072,-1.493740320,1.600638509,0.212800026,0.000045557,0.000028463,0.000076315,0.014052357,-0.010550993,1.547424197,0.610000000,-0.120000000,0.330000000,0.000000000,0.000000000,0.000000000,-0.019547688,0.027576202,0.081506876,0.170000000,0.000000000,0.000000000,0.000000000,0.000000000,2.928999901,1.000000000,1.000000000,3.000000000
1502421163.279749632,-1.493740320,1.600638509,0.212800026,0.000045557,0.000028463,0.000076315,0.014052357,-0.010550993,1.547424197,0.610000000,-0.120000000,0.330000000,0.000000000,0.000000000,0.000000000,-0.019547688,0.027576202,0.081506876,0.170000000,0.000000000,0.000000000,0.000000000,0.000000000,2.798000097,1.000000000,0.000000000,2.000000000
1502421163.304347992,-1.493740439,1.600604296,0.212753251,0.000048308,-0.000060549,0.000010949,0.014108160,-0.010624187,1.547428489,1.060000000,1.790000000,0.330000000,0.000000000,0.000000000,0.020000000,-0.019722221,0.027576202,0.082903139,0.170000000,0.000000000,0.000000000,0.000000000,0.000000000,2.352999926,1.000000000,1.000000000,2.000000000
1502421163.304705381,-1.493740439,1.600604296,0.212753251,0.000048308,-0.000060549,0.000010949,0.014108160,-0.010624187,1.547428489,1.060000000,1.790000000,0.330000000,0.000000000,0.000000000,0.020000000,-0.019722221,0.027576202,0.082903139,0.170000000,0.000000000,0.000000000,0.000000000,0.000000000,3.427000046,1.000000000,0.000000000,3.000000000
1502421163.345748663,-1.493740439,1.600604296,0.212753251,0.000048308,-0.000060549,0.000010949,0.014108160,-0.010624187,1.547428489,1.060000000,1.790000000,0.330000000,0.000000000,0.000000000,0.020000000,-0.019722221,0.027576202,0.082903139,0.120000000,0.000000000,0.000000000,0.000000000,0.000000000,2.776000023,0.000000000,1.000000000,3.000000000
1502421163.345941305,-1.493740439,1.600604296,0.212753251,0.000048308,-0.000060549,0.000010949,0.014108160,-0.010624187,1.547428489,1.060000000,1.790000000,0.330000000,0.000000000,0.000000000,0.020000000,-0.019722221,0.027576202,0.082903139,0.120000000,0.000000000,0.000000000,0.000000000,0.000000000,3.134999990,0.000000000,0.000000000,2.000000000
1502421163.370511770,-1.493740439,1.600604296,0.212753251,0.000048308,-0.000060549,0.000010949,0.014108160,-0.010624187,1.547428489,1.080000000,0.980000000,0.370000000,0.000000000,0.000000000,0.130000000,-0.019722221,0.027576202,0.083775804,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,2.503000021,0.000000000,1.000000000,2.000000000
1502421163.370568752,-1.493740439,1.600604296,0.212753251,0.000048308,-0.000060549,0.000010949,0.014108160,-0.010624187,1.547428489,1.080000000,0.980000000,0.370000000,0.000000000,0.000000000,0.130000000,-0.019722221,0.027576202,0.083775804,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,3.171999931,0.000000000,0.000000000,3.000000000
1502421163.395587921,-1.493776083,1.600661635,0.212764606,0.000020629,-0.000049870,0.000003801,0.013971046,-0.010496577,1.547557712,1.070000000,1.030000000,0.390000000,0.000000000,0.000000000,0.150000000,-0.019722221,0.027576202,0.083950337,0.180000000,0.000000000,0.000000000,0.000000000,0.000000000,2.789999962,1.000000000,0.000000000,2.000000000
1502421163.395761728,-1.493776083,1.600661635,0.212764606,0.000020629,-0.000049870,0.000003801,0.013971046,-0.010496577,1.547557712,1.070000000,1.030000000,0.390000000,0.000000000,0.000000000,0.150000000,-0.019722221,0.027576202,0.083950337,0.180000000,0.000000000,0.000000000,0.000000000,0.000000000,2.933000088,1.000000000,1.000000000,3.000000000
