t, viconX, viconY, viconZ, viconRo, viconPi, viconYa, uwbD, uwbAnt, uwbRspdX, uwbRspdY, uwbRspdZ, imuQx, imuQy, imuQz, imuQw
1499671970.863917112,-1.015572786,-1.873795629,0.222810790,-0.005124087,-0.002991954,1.589662313,2.486999989,1.000000000,0.000000000,0.000000000,1.514000000,-0.001471737,0.002576035,0.009436635,0.999951071
1499671970.879916191,-1.015572786,-1.873795629,0.222810790,-0.005124087,-0.002991954,1.589662313,2.217600107,2.000000000,0.000000000,0.000000000,1.514000000,-0.001471737,0.002576035,0.009436635,0.999951071
1499671970.895908356,-1.015577078,-1.873786092,0.222760782,-0.005050197,-0.002928955,1.589714050,2.690299988,3.000000000,0.000000000,0.000000000,1.514000000,-0.001440523,0.002538832,0.009462380,0.999950998
1499671970.912155390,-1.015577078,-1.873786092,0.222760782,-0.005050197,-0.002928955,1.589714050,2.934000015,4.000000000,0.000000000,0.000000000,1.514000000,-0.001440523,0.002538832,0.009462380,0.999950998
1499671970.927935839,-1.015581846,-1.873791099,0.222761184,-0.005110510,-0.002819698,1.589697003,2.440999985,1.000000000,0.000000000,0.000000000,1.514000000,-0.001385633,0.002568459,0.009453770,0.999951024
1499671970.943785906,-1.015581846,-1.873791099,0.222761184,-0.005110510,-0.002819698,1.589697003,2.248600006,2.000000000,0.000000000,0.000000000,1.514000000,-0.001385633,0.002568459,0.009453770,0.999951024
1499671970.959931850,-1.015581846,-1.873791099,0.222761184,-0.005110510,-0.002819698,1.589697003,2.690299988,3.000000000,0.000000000,0.000000000,1.514000000,-0.001385633,0.002568459,0.009453770,0.999951024
1499671970.976014376,-1.015555859,-1.873776436,0.222794503,-0.005168946,-0.002868791,1.589629769,2.898999929,4.000000000,0.000000000,0.000000000,1.514000000,-0.001409990,0.002597860,0.009420241,0.999951301
1499671970.992423058,-1.015585423,-1.873801351,0.222779095,-0.005219510,-0.002845857,1.589624524,2.447999954,1.000000000,0.000000000,0.000000000,1.514000000,-0.001409990,0.002597860,0.009420241,0.999951301
1499671971.007956505,-1.015585423,-1.873801351,0.222779095,-0.005219510,-0.002845857,1.589624524,2.221600056,2.000000000,0.000000000,0.000000000,1.514000000,-0.001398292,0.002623029,0.009417634,0.999951241
1499671971.023867846,-1.015568137,-1.873795390,0.222775206,-0.005234270,-0.002826053,1.589698672,2.693300009,3.000000000,0.000000000,0.000000000,1.514000000,-0.001388223,0.002630367,0.009454666,0.999950862
1499671971.039917946,-1.015568137,-1.873795390,0.222775206,-0.005234270,-0.002826053,1.589698672,2.885999918,4.000000000,0.000000000,0.000000000,1.514000000,-0.001388223,0.002630367,0.009454666,0.999950862
1499671971.055981874,-1.015584230,-1.873786092,0.222785771,-0.005163902,-0.002863907,1.589627266,2.444000006,1.000000000,0.000000000,0.000000000,1.514000000,-0.001407575,0.002595313,0.009418967,0.999951301
1499671971.071880341,-1.015589595,-1.873776793,0.222794741,-0.005123893,-0.002915181,1.589688778,2.214600086,2.000000000,0.000000000,0.000000000,1.514000000,-0.001433320,0.002575595,0.009449813,0.999951005
1499671971.088167906,-1.015589595,-1.873776793,0.222794741,-0.005123893,-0.002915181,1.589688778,2.697299957,3.000000000,0.000000000,0.000000000,1.514000000,-0.001433320,0.002575595,0.009449813,0.999951005
1499671971.103915691,-1.015600443,-1.873801827,0.222757921,-0.005255845,-0.002822536,1.589674592,2.894999981,4.000000000,0.000000000,0.000000000,1.514000000,-0.001386395,0.002641121,0.009442664,0.999950929
1499671971.120244503,-1.015578032,-1.873753786,0.222775981,-0.005059635,-0.002893873,1.589752078,2.477999926,1.000000000,0.000000000,0.000000000,1.514000000,-0.001422890,0.002543412,0.009481350,0.999950728
1499671971.136239052,-1.015578032,-1.873753786,0.222775981,-0.005059635,-0.002893873,1.589752078,2.216599941,2.000000000,0.000000000,0.000000000,1.514000000,-0.001422890,0.002543412,0.009481350,0.999950728
1499671971.152055979,-1.015578032,-1.873753786,0.222775981,-0.005059635,-0.002893873,1.589752078,2.696300030,3.000000000,0.000000000,0.000000000,1.514000000,-0.001422890,0.002543412,0.009481350,0.999950728
1499671971.167869806,-1.015578032,-1.873753786,0.222775981,-0.005059635,-0.002893873,1.589752078,2.926000118,4.000000000,0.000000000,0.000000000,1.514000000,-0.001422890,0.002543412,0.009481350,0.999950728
1499671971.184081316,-1.015578032,-1.873753786,0.222775981,-0.005059635,-0.002893873,1.589752078,2.448999882,1.000000000,0.000000000,0.000000000,1.514000000,-0.001422890,0.002543412,0.009481350,0.999950728
1499671971.200021505,-1.015588164,-1.873799324,0.222794548,-0.005141718,-0.002857224,1.589745522,2.251600027,2.000000000,0.000000000,0.000000000,1.514000000,-0.001404185,0.002584274,0.009478117,0.999950770
1499671971.216019869,-1.015588164,-1.873799324,0.222794548,-0.005141718,-0.002857224,1.589745522,2.686300039,3.000000000,0.000000000,0.000000000,1.514000000,-0.001404185,0.002584274,0.009478117,0.999950770
1499671971.231968403,-1.015584826,-1.873799920,0.222771868,-0.005205627,-0.002947271,1.589654803,2.904999971,4.000000000,0.000000000,0.000000000,1.514000000,-0.001449022,0.002616587,0.009432886,0.999951054
1499671971.248378038,-1.015588760,-1.873802900,0.222804949,-0.005035711,-0.002870478,1.589711308,2.413000107,1.000000000,0.000000000,0.000000000,1.514000000,-0.001411357,0.002531311,0.009460948,0.999951059
1499671971.263881683,-1.015588760,-1.873802900,0.222804949,-0.005035711,-0.002870478,1.589711308,2.217600107,2.000000000,0.000000000,0.000000000,1.514000000,-0.001411357,0.002531311,0.009460948,0.999951059
1499671971.279821634,-1.015567541,-1.873808146,0.222768024,-0.005147080,-0.002776196,1.589655280,2.685300112,3.000000000,0.000000000,0.000000000,1.514000000,-0.001363764,0.002586509,0.009432878,0.999951235
1499671971.295875311,-1.015567541,-1.873808146,0.222768024,-0.005147080,-0.002776196,1.589655280,2.894000053,4.000000000,0.000000000,0.000000000,1.514000000,-0.001363764,0.002586509,0.009432878,0.999951235
1499671971.312156916,-1.015567541,-1.873808146,0.222768024,-0.005147080,-0.002776196,1.589655280,2.417000055,1.000000000,0.000000000,0.000000000,1.514000000,-0.001363764,0.002586509,0.009432878,0.999951235
1499671971.328355551,-1.015581131,-1.873782396,0.222801879,-0.005120153,-0.002944737,1.589685798,2.255599976,2.000000000,0.000000000,0.000000000,1.514000000,-0.001448119,0.002573862,0.009448331,0.999951005
1499671971.343871832,-1.015579820,-1.873782277,0.222766921,-0.005138217,-0.002897674,1.589725494,2.692300081,3.000000000,0.000000000,0.000000000,1.514000000,-0.001424452,0.002582700,0.009468177,0.999950837
1499671971.359921932,-1.015579820,-1.873782277,0.222766921,-0.005138217,-0.002897674,1.589725494,2.892999887,4.000000000,0.000000000,0.000000000,1.514000000,-0.001424452,0.002582700,0.009468177,0.999950837
1499671971.375957966,-1.015579820,-1.873782277,0.222766921,-0.005138217,-0.002897674,1.589725494,2.476000071,1.000000000,0.000000000,0.000000000,1.514000000,-0.001424452,0.002582700,0.009468177,0.999950837
1499671971.392076492,-1.015579820,-1.873782277,0.222766921,-0.005138217,-0.002897674,1.589725494,2.258599997,2.000000000,0.000000000,0.000000000,1.514000000,-0.001424452,0.002582700,0.009468177,0.999950837
1499671971.407989264,-1.015579820,-1.873782277,0.222766921,-0.005138217,-0.002897674,1.589725494,2.692300081,3.000000000,0.000000000,0.000000000,1.514000000,-0.001424452,0.002582700,0.009468177,0.999950837
1499671971.423817158,-1.015586019,-1.873790264,0.222792879,-0.005185039,-0.002915503,1.589657068,2.897000074,4.000000000,0.000000000,0.000000000,1.514000000,-0.001433234,0.002606145,0.009433968,0.999951072
1499671971.440011978,-1.015586019,-1.873790264,0.222792879,-0.005185039,-0.002915503,1.589657068,2.492000103,1.000000000,0.000000000,0.000000000,1.514000000,-0.001433234,0.002606145,0.009433968,0.999951072
1499671971.455914974,-1.015590072,-1.873795271,0.222799316,-0.005158084,-0.002880967,1.589685559,2.256599903,2.000000000,0.000000000,0.000000000,1.514000000,-0.001416057,0.002592526,0.009448108,0.999951005
1499671971.472508430,-1.015578628,-1.873795271,0.222777933,-0.005112616,-0.002755756,1.589758515,2.688299894,3.000000000,0.000000000,0.000000000,1.514000000,-0.001353575,0.002569251,0.009484416,0.999950789
1499671971.488018990,-1.015578628,-1.873795271,0.222777933,-0.005112616,-0.002755756,1.589758515,2.888999939,4.000000000,0.000000000,0.000000000,1.514000000,-0.001353575,0.002569251,0.009484416,0.999950789
1499671971.504099607,-1.015578628,-1.873795271,0.222777933,-0.005112616,-0.002755756,1.589758515,2.444999933,1.000000000,0.000000000,0.000000000,1.514000000,-0.001353575,0.002569251,0.009484416,0.999950789
1499671971.519878149,-1.015578628,-1.873795271,0.222777933,-0.005112616,-0.002755756,1.589758515,2.216599941,2.000000000,0.000000000,0.000000000,1.514000000,-0.001353575,0.002569251,0.009484416,0.999950789
1499671971.536966562,-1.015578628,-1.873795271,0.222777933,-0.005112616,-0.002755756,1.589758515,2.696300030,3.000000000,0.000000000,0.000000000,1.514000000,-0.001353575,0.002569251,0.009484416,0.999950789
1499671971.552150249,-1.015608549,-1.873781204,0.222807959,-0.005175427,-0.002885264,1.589718580,2.898999929,4.000000000,0.000000000,0.000000000,1.514000000,-0.001418080,0.002601241,0.009464648,0.999950837
1499671971.568747520,-1.015577555,-1.873775840,0.222780108,-0.005213585,-0.003068213,1.589636683,2.482000113,1.000000000,0.000000000,0.000000000,1.514000000,-0.001509476,0.002621122,0.009423987,0.999950975
1499671971.583941936,-1.015577555,-1.873775840,0.222780108,-0.005213585,-0.003068213,1.589636683,2.213599920,2.000000000,0.000000000,0.000000000,1.514000000,-0.001509476,0.002621122,0.009423987,0.999950975
1499671971.599828482,-1.015581250,-1.873769522,0.222769737,-0.005072118,-0.002849532,1.589720607,2.691299915,3.000000000,0.000000000,0.000000000,1.514000000,-0.001400701,0.002549421,0.009465541,0.999950957
1499671971.616206408,-1.015581250,-1.873769522,0.222769737,-0.005072118,-0.002849532,1.589720607,2.895999908,4.000000000,0.000000000,0.000000000,1.514000000,-0.001400701,0.002549421,0.009465541,0.999950957
1499671971.632084608,-1.015573263,-1.873776793,0.222782478,-0.005101997,-0.002813315,1.589720488,2.460999966,1.000000000,0.000000000,0.000000000,1.514000000,-0.001382452,0.002564189,0.009465515,0.999950898
1499671971.647946835,-1.015573263,-1.873776793,0.222782478,-0.005101997,-0.002813315,1.589720488,2.261600018,2.000000000,0.000000000,0.000000000,1.514000000,-0.001382452,0.002564189,0.009465515,0.999950898
1499671971.663833141,-1.015573263,-1.873776793,0.222782478,-0.005101997,-0.002813315,1.589720488,2.684299946,3.000000000,0.000000000,0.000000000,1.514000000,-0.001382452,0.002564189,0.009465515,0.999950898
1499671971.679937601,-1.015573263,-1.873776793,0.222782478,-0.005101997,-0.002813315,1.589720488,2.890000105,4.000000000,0.000000000,0.000000000,1.514000000,-0.001382452,0.002564189,0.009465515,0.999950898
1499671971.695974588,-1.015593410,-1.873787165,0.222783595,-0.005216240,-0.002901837,1.589704037,2.441999912,1.000000000,0.000000000,0.000000000,1.514000000,-0.001426192,0.002621714,0.009457491,0.999950843
1499671971.711982727,-1.015593410,-1.873787165,0.222783595,-0.005216240,-0.002901837,1.589704037,2.215600014,2.000000000,0.000000000,0.000000000,1.514000000,-0.001426192,0.002621714,0.009457491,0.999950843
1499671971.727975368,-1.015588880,-1.873781443,0.222808391,-0.005049134,-0.002948848,1.589667797,2.693300009,3.000000000,0.000000000,0.000000000,1.514000000,-0.001450532,0.002538361,0.009439266,0.999951209
1499671971.743859291,-1.015571952,-1.873779893,0.222765818,-0.005141198,-0.002869715,1.589644074,2.887000084,4.000000000,0.000000000,0.000000000,1.514000000,-0.001410564,0.002584001,0.009427388,0.999951276
1499671971.759912729,-1.015571952,-1.873779893,0.222765818,-0.005141198,-0.002869715,1.589644074,2.489000082,1.000000000,0.000000000,0.000000000,1.514000000,-0.001410564,0.002584001,0.009427388,0.999951276
1499671971.775836468,-1.015574098,-1.873792887,0.222787753,-0.005078011,-0.002900533,1.589640379,2.248600006,2.000000000,0.000000000,0.000000000,1.514000000,-0.001426275,0.002552552,0.009425527,0.999951276
1499671971.792407513,-1.015591860,-1.873803616,0.222779900,-0.005260537,-0.002964203,1.589688301,2.693300009,3.000000000,0.000000000,0.000000000,1.514000000,-0.001426275,0.002552552,0.009425527,0.999951276
1499671971.807871580,-1.015591860,-1.873803616,0.222779900,-0.005260537,-0.002964203,1.589688301,2.930999994,4.000000000,0.000000000,0.000000000,1.514000000,-0.001457184,0.002644145,0.009449723,0.999950825
1499671971.824228525,-1.015591860,-1.873803616,0.222779900,-0.005260537,-0.002964203,1.589688301,2.440999985,1.000000000,0.000000000,0.000000000,1.514000000,-0.001457184,0.002644145,0.009449723,0.999950825
1499671971.839936495,-1.015591860,-1.873803616,0.222779900,-0.005260537,-0.002964203,1.589688301,2.260600090,2.000000000,0.000000000,0.000000000,1.514000000,-0.001457184,0.002644145,0.009449723,0.999950825
1499671971.855790615,-1.015578866,-1.873796463,0.222738579,-0.005197681,-0.002909615,1.589673638,2.694299936,3.000000000,0.000000000,0.000000000,1.514000000,-0.001430208,0.002612450,0.009442272,0.999950970
1499671971.871930361,-1.015590072,-1.873792768,0.222795933,-0.005096393,-0.002950971,1.589670062,2.887000084,4.000000000,0.000000000,0.000000000,1.514000000,-0.001451368,0.002562001,0.009440441,0.999951107
1499671971.887895107,-1.015590072,-1.873792768,0.222795933,-0.005096393,-0.002950971,1.589670062,2.450000048,1.000000000,0.000000000,0.000000000,1.514000000,-0.001451368,0.002562001,0.009440441,0.999951107
1499671971.903897047,-1.015590072,-1.873792768,0.222795933,-0.005096393,-0.002950971,1.589670062,2.217600107,2.000000000,0.000000000,0.000000000,1.514000000,-0.001451368,0.002562001,0.009440441,0.999951107
1499671971.919928074,-1.015608311,-1.873824120,0.222797051,-0.005150832,-0.002876817,1.589609146,2.692300081,3.000000000,0.000000000,0.000000000,1.514000000,-0.001414114,0.002588827,0.009409955,0.999951385
1499671971.935866356,-1.015608311,-1.873824120,0.222797051,-0.005150832,-0.002876817,1.589609146,2.901999950,4.000000000,0.000000000,0.000000000,1.514000000,-0.001414114,0.002588827,0.009409955,0.999951385
1499671971.952035666,-1.015608311,-1.873824120,0.222797051,-0.005150832,-0.002876817,1.589609146,2.446000099,1.000000000,0.000000000,0.000000000,1.514000000,-0.001414114,0.002588827,0.009409955,0.999951385
1499671971.968358278,-1.015598893,-1.873796463,0.222795770,-0.005184524,-0.002931878,1.589700460,2.209599972,2.000000000,0.000000000,0.000000000,1.514000000,-0.001441366,0.002605996,0.009455695,0.999950861
1499671971.983840704,-1.015598893,-1.873796463,0.222795770,-0.005184524,-0.002931878,1.589700460,2.685300112,3.000000000,0.000000000,0.000000000,1.514000000,-0.001441366,0.002605996,0.009455695,0.999950861
1499671971.999962807,-1.015584350,-1.873800159,0.222806200,-0.005185029,-0.002895581,1.589666486,2.891000032,4.000000000,0.000000000,0.000000000,1.514000000,-0.001423261,0.002606054,0.009438663,0.999951072
1499671972.015857935,-1.015584350,-1.873800159,0.222806200,-0.005185029,-0.002895581,1.589666486,2.474999905,1.000000000,0.000000000,0.000000000,1.514000000,-0.001423261,0.002606054,0.009438663,0.999951072
1499671972.032116890,-1.015584350,-1.873800159,0.222806200,-0.005185029,-0.002895581,1.589666486,2.249599934,2.000000000,0.000000000,0.000000000,1.514000000,-0.001423261,0.002606054,0.009438663,0.999951072
1499671972.048099995,-1.015599132,-1.873796940,0.222794592,-0.005259409,-0.002883857,1.589644432,2.652299881,3.000000000,0.000000000,0.000000000,1.514000000,-0.001417077,0.002643171,0.009427658,0.999951096
1499671972.063818216,-1.015599132,-1.873796940,0.222794592,-0.005259409,-0.002883857,1.589644432,2.905999899,4.000000000,0.000000000,0.000000000,1.514000000,-0.001417077,0.002643171,0.009427658,0.999951096
1499671972.079875469,-1.015599132,-1.873796940,0.222794592,-0.005259409,-0.002883857,1.589644432,2.454999924,1.000000000,0.000000000,0.000000000,1.514000000,-0.001417077,0.002643171,0.009427658,0.999951096
1499671972.096003056,-1.015586138,-1.873773098,0.222781599,-0.005202157,-0.002939208,1.589691520,2.248600006,2.000000000,0.000000000,0.000000000,1.514000000,-0.001444959,0.002614841,0.009451249,0.999950885
1499671972.112084389,-1.015586138,-1.873773098,0.222781599,-0.005202157,-0.002939208,1.589691520,2.658299923,3.000000000,0.000000000,0.000000000,1.514000000,-0.001444959,0.002614841,0.009451249,0.999950885
1499671972.128246307,-1.015577555,-1.873790860,0.222816989,-0.005099252,-0.003061214,1.589632273,2.890000105,4.000000000,0.000000000,0.000000000,1.514000000,-0.001506522,0.002563922,0.009421658,0.999951138
1499671972.143848181,-1.015592098,-1.873795509,0.222797886,-0.005177679,-0.002910992,1.589713693,2.480999947,1.000000000,0.000000000,0.000000000,1.514000000,-0.001430939,0.002602485,0.009462280,0.999950819
1499671972.159880161,-1.015592098,-1.873795509,0.222797886,-0.005177679,-0.002910992,1.589713693,2.223599911,2.000000000,0.000000000,0.000000000,1.514000000,-0.001430939,0.002602485,0.009462280,0.999950819
1499671972.175949812,-1.015592098,-1.873795509,0.222797886,-0.005177679,-0.002910992,1.589713693,2.684299946,3.000000000,0.000000000,0.000000000,1.514000000,-0.001430939,0.002602485,0.009462280,0.999950819
1499671972.191973925,-1.015593290,-1.873790860,0.222800002,-0.005154038,-0.002944641,1.589688778,2.884000063,4.000000000,0.000000000,0.000000000,1.514000000,-0.001430939,0.002602485,0.009462280,0.999950819
1499671972.208027840,-1.015593290,-1.873790860,0.222800002,-0.005154038,-0.002944641,1.589688778,2.477999926,1.000000000,0.000000000,0.000000000,1.514000000,-0.001447907,0.002590806,0.009449873,0.999950945
1499671972.224283457,-1.015593290,-1.873790860,0.222800002,-0.005154038,-0.002944641,1.589688778,2.218600035,2.000000000,0.000000000,0.000000000,1.514000000,-0.001447907,0.002590806,0.009449873,0.999950945
1499671972.239996910,-1.015593290,-1.873790860,0.222800002,-0.005154038,-0.002944641,1.589688778,2.732300043,3.000000000,0.000000000,0.000000000,1.514000000,-0.001447907,0.002590806,0.009449873,0.999950945
1499671972.255918264,-1.015593290,-1.873790860,0.222800002,-0.005154038,-0.002944641,1.589688778,2.891000032,4.000000000,0.000000000,0.000000000,1.514000000,-0.001447907,0.002590806,0.009449873,0.999950945
1499671972.271916628,-1.015587807,-1.873795748,0.222793177,-0.005221912,-0.002902341,1.589668393,2.453999996,1.000000000,0.000000000,0.000000000,1.514000000,-0.001426464,0.002624527,0.009439667,0.999950970
1499671972.303920269,-1.015590310,-1.873792887,0.222792163,-0.005175677,-0.002933115,1.589653015,2.689300060,3.000000000,0.000000000,0.000000000,1.514000000,-0.001442088,0.002601545,0.009432003,0.999951114
1499671972.319929123,-1.015590310,-1.873792887,0.222792163,-0.005175677,-0.002933115,1.589653015,2.891999960,4.000000000,0.000000000,0.000000000,1.514000000,-0.001442088,0.002601545,0.009432003,0.999951114
1499671972.335953474,-1.015590310,-1.873792887,0.222792163,-0.005175677,-0.002933115,1.589653015,2.486000061,1.000000000,0.000000000,0.000000000,1.514000000,-0.001442088,0.002601545,0.009432003,0.999951114
1499671972.352021933,-1.015567660,-1.873789907,0.222765818,-0.005280516,-0.002820619,1.589640498,2.218600035,2.000000000,0.000000000,0.000000000,1.514000000,-0.001385365,0.002653423,0.009425609,0.999951055
1499671972.368391991,-1.015601397,-1.873797894,0.222816169,-0.005148416,-0.002909037,1.589742303,2.696300030,3.000000000,0.000000000,0.000000000,1.514000000,-0.001430063,0.002587865,0.009476544,0.999950693
1499671972.383929968,-1.015601397,-1.873797894,0.222816169,-0.005148416,-0.002909037,1.589742303,2.887000084,4.000000000,0.000000000,0.000000000,1.514000000,-0.001430063,0.002587865,0.009476544,0.999950693
1499671972.400289774,-1.015601397,-1.873797894,0.222816169,-0.005148416,-0.002909037,1.589742303,2.446000099,1.000000000,0.000000000,0.000000000,1.514000000,-0.001430063,0.002587865,0.009476544,0.999950693
1499671972.416215897,-1.015601397,-1.873797894,0.222816169,-0.005148416,-0.002909037,1.589742303,2.253599882,2.000000000,0.000000000,0.000000000,1.514000000,-0.001430063,0.002587865,0.009476544,0.999950693
1499671972.432011366,-1.015575409,-1.873796821,0.222789451,-0.005169432,-0.002867407,1.589700818,2.688299894,3.000000000,0.000000000,0.000000000,1.514000000,-0.001409203,0.002598146,0.009455770,0.999950921
1499671972.447952747,-1.015581369,-1.873770118,0.222790107,-0.005097878,-0.002888433,1.589714408,2.897000074,4.000000000,0.000000000,0.000000000,1.514000000,-0.001420037,0.002562480,0.009462573,0.999950981
1499671972.464868546,-1.015581369,-1.873770118,0.222790107,-0.005097878,-0.002888433,1.589714408,2.444999933,1.000000000,0.000000000,0.000000000,1.514000000,-0.001420037,0.002562480,0.009462573,0.999950981
1499671972.480103016,-1.015581369,-1.873770118,0.222790107,-0.005097878,-0.002888433,1.589714408,2.262599945,2.000000000,0.000000000,0.000000000,1.514000000,-0.001420037,0.002562480,0.009462573,0.999950981
1499671972.495851040,-1.015579104,-1.873809934,0.222764224,-0.005224050,-0.002786610,1.589631796,2.689300060,3.000000000,0.000000000,0.000000000,1.514000000,-0.001368639,0.002625025,0.009421185,0.999951217
1499671972.511948109,-1.015579104,-1.873809934,0.222764224,-0.005224050,-0.002786610,1.589631796,2.890000105,4.000000000,0.000000000,0.000000000,1.514000000,-0.001368639,0.002625025,0.009421185,0.999951217
1499671972.528102636,-1.015588760,-1.873816729,0.222775936,-0.005248557,-0.002781507,1.589685917,2.450999975,1.000000000,0.000000000,0.000000000,1.514000000,-0.001365901,0.002637291,0.009448295,0.999950947
1499671972.543947935,-1.015595436,-1.873778939,0.222808123,-0.005030883,-0.002922554,1.589763403,2.250600100,2.000000000,0.000000000,0.000000000,1.514000000,-0.001437351,0.002529181,0.009487056,0.999950746
1499671972.559912443,-1.015595436,-1.873778939,0.222808123,-0.005030883,-0.002922554,1.589763403,2.693300009,3.000000000,0.000000000,0.000000000,1.514000000,-0.001437351,0.002529181,0.009487056,0.999950746
1499671972.575911999,-1.015595436,-1.873778939,0.222808123,-0.005030883,-0.002922554,1.589763403,2.888000011,4.000000000,0.000000000,0.000000000,1.514000000,-0.001437351,0.002529181,0.009487056,0.999950746
1499671972.592098713,-1.015562773,-1.873750925,0.222758353,-0.005109761,-0.002877866,1.589738846,2.447000027,1.000000000,0.000000000,0.000000000,1.514000000,-0.001437351,0.002529181,0.009487056,0.999950746
1499671972.607884645,-1.015562773,-1.873750925,0.222758353,-0.005109761,-0.002877866,1.589738846,2.261600018,2.000000000,0.000000000,0.000000000,1.514000000,-0.001414666,0.002568389,0.009474749,0.999950855
1499671972.623836279,-1.015562773,-1.873750925,0.222758353,-0.005109761,-0.002877866,1.589738846,2.693300009,3.000000000,0.000000000,0.000000000,1.514000000,-0.001414666,0.002568389,0.009474749,0.999950855
1499671972.639877319,-1.015562773,-1.873750925,0.222758353,-0.005109761,-0.002877866,1.589738846,2.903000116,4.000000000,0.000000000,0.000000000,1.514000000,-0.001414666,0.002568389,0.009474749,0.999950855
1499671972.656203032,-1.015551209,-1.873774171,0.222777531,-0.005151764,-0.002905708,1.589610457,2.447000027,1.000000000,0.000000000,0.000000000,1.514000000,-0.001428553,0.002589430,0.009410667,0.999951325
1499671972.672171593,-1.015597939,-1.873796344,0.222794920,-0.005269779,-0.002936742,1.589658022,2.222599983,2.000000000,0.000000000,0.000000000,1.514000000,-0.001443451,0.002648614,0.009434563,0.999950952
1499671972.687851667,-1.015597939,-1.873796344,0.222794920,-0.005269779,-0.002936742,1.589658022,2.697299957,3.000000000,0.000000000,0.000000000,1.514000000,-0.001443451,0.002648614,0.009434563,0.999950952
