t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, px4Lidar, px4Ro, px4Pi, px4Ya, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRspdrId, uwbRqstrId
1502109954.372227192,-1.608883262,0.990169644,0.213269189,-0.000006212,-0.000023836,-0.000009968,0.011253821,-0.007211994,1.588479400,1.360000000,1.820000000,0.040000000,0.000000000,0.000000000,-0.430000000,-0.023911011,0.031590459,-0.335626815,0.070000000,0.000000000,0.000000000,0.000000000,0.000000000,2.904400110,0.000000000,1.000000000,2.000000000
1502109954.372254610,-1.608883262,0.990169644,0.213269189,-0.000006212,-0.000023836,-0.000009968,0.011253821,-0.007211994,1.588479400,1.360000000,1.820000000,0.040000000,0.000000000,0.000000000,-0.430000000,-0.023911011,0.031590459,-0.335626815,0.070000000,0.000000000,0.000000000,0.000000000,0.000000000,3.488699913,0.000000000,0.000000000,3.000000000
1502109954.397440672,-1.608883262,0.990169644,0.213269189,-0.000006212,-0.000023836,-0.000009968,0.011253821,-0.007211994,1.588479400,1.380000000,1.810000000,-0.050000000,0.000000000,0.000000000,-0.640000000,-0.023911011,0.031590459,-0.335626815,0.090000000,0.000000000,0.000000000,0.000000000,0.000000000,3.117000103,1.000000000,0.000000000,2.000000000
1502109954.397491693,-1.608883262,0.990169644,0.213269189,-0.000006212,-0.000023836,-0.000009968,0.011253821,-0.007211994,1.588479400,1.380000000,1.810000000,-0.050000000,0.000000000,0.000000000,-0.640000000,-0.023911011,0.031590459,-0.335626815,0.090000000,0.000000000,0.000000000,0.000000000,0.000000000,3.325400114,1.000000000,1.000000000,3.000000000
1502109954.422236919,-1.608881950,0.990157723,0.213303804,0.000014557,-0.000056527,0.000053058,0.011357291,-0.007108633,1.588480711,1.410000000,1.790000000,0.030000000,0.000000000,0.000000000,-0.590000000,-0.023911011,0.031590459,-0.334405085,0.120000000,0.000000000,0.000000000,0.000000000,0.000000000,2.693000078,1.000000000,1.000000000,2.000000000
1502109954.422317982,-1.608881950,0.990157723,0.213303804,0.000014557,-0.000056527,0.000053058,0.011357291,-0.007108633,1.588480711,1.410000000,1.790000000,0.030000000,0.000000000,0.000000000,-0.590000000,-0.023911011,0.031590459,-0.334405085,0.120000000,0.000000000,0.000000000,0.000000000,0.000000000,3.779400110,1.000000000,0.000000000,3.000000000
1502109954.463122606,-1.608919740,0.990154982,0.213265881,-0.000025069,-0.000060997,-0.000007264,0.011188775,-0.007254193,1.588498116,1.400000000,1.780000000,0.010000000,0.000000000,0.000000000,-0.560000000,-0.024085544,0.031764992,-0.334405085,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,3.318399906,0.000000000,0.000000000,2.000000000
1502109954.463148832,-1.608919740,0.990154982,0.213265881,-0.000025069,-0.000060997,-0.000007264,0.011188775,-0.007254193,1.588498116,1.400000000,1.780000000,0.010000000,0.000000000,0.000000000,-0.560000000,-0.024085544,0.031764992,-0.334405085,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,3.156699896,0.000000000,1.000000000,3.000000000
1502109954.488221645,-1.608883619,0.990179658,0.213288426,-0.000015410,-0.000051882,-0.000007073,0.011335861,-0.007142802,1.588522673,1.400000000,1.780000000,0.000000000,0.000000000,0.000000000,-0.560000000,-0.024085544,0.031764992,-0.334405085,0.180000000,0.000000000,0.000000000,0.000000000,0.000000000,2.900399923,0.000000000,1.000000000,2.000000000
1502109954.488326550,-1.608883619,0.990179658,0.213288426,-0.000015410,-0.000051882,-0.000007073,0.011335861,-0.007142802,1.588522673,1.400000000,1.780000000,0.000000000,0.000000000,0.000000000,-0.560000000,-0.024085544,0.031764992,-0.334405085,0.180000000,0.000000000,0.000000000,0.000000000,0.000000000,3.520699978,0.000000000,0.000000000,3.000000000
